연도,비장마철,장마철,차이,손실량(kWh/MW),총설비용량(MW),총손실량(kWh),SMP,손실액(만원)
2020,16.310950138504154,13.02116179337232,3.289788345131834,68.54274017082176,4115.740000000001,282104.097430658,68.87,1942.8509190049417
2021,15.254082675336738,15.513070175438598,-0.2589875001018598,-5.396004564622249,4070.19,-21962.76381887983,94.34,-207.19671386731233
2022,14.901918330308531,14.879712074303406,0.02220625600512527,0.462667343866785,2991.0400000000004,1383.8565321993087,196.65,27.213538705699406
2023,16.569507692307692,13.70534994068802,2.864157751619672,59.674726754995866,2750.0,164105.49857623863,167.11,2742.366986707524
2024,17.78721775602936,13.809456419868791,3.977761336160569,82.87665743890545,3372.78,279524.73267679155,128.39,3588.818042837326
