연도,지역구분,비장마철,장마철,차이,손실량(kWh/MW),설비용량(MW),총손실량(kWh),SMP,손실액(만원)
2020,기타,14.651315789473685,11.975796296296297,2.6755194931773882,55.74444864035089,,,68.87,0.0
2020,남부,16.47890440386681,13.109338624338623,3.3695657795281875,70.20490301646979,2021.3799999999999,141910.78685943168,68.87,977.3395891009061
2020,중북부,16.543355263157896,13.191522633744857,3.351832629413039,69.83543283382068,1348.91,94201.71370386906,68.87,648.7672022785463
2021,기타,14.617558823529412,14.325416666666666,0.2921421568627469,6.086781838235332,,,94.34,0.0
2021,남부,15.390912638847192,15.099523809523811,0.29138882932338106,6.071086258952644,2018.8999999999999,12256.916048199493,94.34,115.63174599871402
2021,중북부,15.244709967320263,16.405856481481482,-1.161146514161219,-24.192487622549,1252.87,-30310.04196766296,94.34,-285.9449359229324
2022,기타,14.086500000000001,13.73764705882353,0.3488529411764709,7.268351029411772,,,196.65,0.0
2022,남부,15.004648135116115,15.165546218487394,-0.1608980833712792,-3.3523115670406023,1488.09,-4988.541319797449,196.65,-98.09966505381685
2022,중북부,14.988596743295018,14.807900326797386,0.18069641649763213,3.7648098377281656,865.4300000000001,3258.1793778650867,196.65,64.07209746571694
2023,기타,15.2810350877193,12.48960843373494,2.7914266539843595,58.159374335764134,,,167.11,0.0
2023,남부,16.66353478566409,13.038890794739851,3.6246439909242394,75.51945755090654,1609.24,121528.93186922083,167.11,2030.8699804665496
2023,중북부,16.7908582266477,14.92089078233927,1.869967444308429,38.96077170216612,831.8399999999999,32409.128332729862,167.11,541.5889435682487
2024,기타,16.139254237288135,12.711212121212121,3.428042116076014,71.42325748844375,,,128.39,0.0
2024,남부,17.72434045439132,13.29881818181818,4.42552227257314,92.20575654906138,1614.49,148865.2718908941,128.39,1911.2812258071892
2024,중북부,18.31755382501145,14.796330876330876,3.5212229486805757,73.3646801357598,1472.49,108028.75785310495,128.39,1386.9812220760143
