지점,지점명,일시,일조율(%)
105,강릉,2022-01-01,72.5
105,강릉,2022-02-01,79.1
105,강릉,2022-03-01,52.1
105,강릉,2022-04-01,63.4
105,강릉,2022-05-01,64.0
105,강릉,2022-06-01,36.8
105,강릉,2022-07-01,25.8
105,강릉,2022-08-01,30.0
105,강릉,2022-09-01,49.4
105,강릉,2022-10-01,41.6
105,강릉,2022-11-01,61.2
105,강릉,2022-12-01,72.3
259,강진군,2022-01-01,58.0
259,강진군,2022-02-01,61.6
259,강진군,2022-03-01,47.1
259,강진군,2022-04-01,57.5
259,강진군,2022-05-01,61.8
259,강진군,2022-06-01,34.0
259,강진군,2022-07-01,37.6
259,강진군,2022-08-01,29.1
259,강진군,2022-09-01,42.2
259,강진군,2022-10-01,67.5
259,강진군,2022-11-01,55.4
259,강진군,2022-12-01,46.1
201,강화,2022-01-01,67.3
201,강화,2022-02-01,70.1
201,강화,2022-03-01,47.0
201,강화,2022-04-01,61.0
201,강화,2022-05-01,62.8
201,강화,2022-06-01,28.9
201,강화,2022-07-01,38.3
201,강화,2022-08-01,33.0
201,강화,2022-09-01,57.2
201,강화,2022-10-01,63.7
201,강화,2022-11-01,56.8
201,강화,2022-12-01,64.8
294,거제,2022-01-01,57.7
294,거제,2022-02-01,66.9
294,거제,2022-03-01,48.2
294,거제,2022-04-01,57.9
294,거제,2022-05-01,68.1
294,거제,2022-06-01,37.6
294,거제,2022-07-01,41.8
294,거제,2022-08-01,33.2
294,거제,2022-09-01,34.4
294,거제,2022-10-01,56.6
294,거제,2022-11-01,55.3
294,거제,2022-12-01,57.1
284,거창,2022-01-01,71.8
284,거창,2022-02-01,75.0
284,거창,2022-03-01,55.3
284,거창,2022-04-01,59.3
284,거창,2022-05-01,60.4
284,거창,2022-06-01,45.9
284,거창,2022-07-01,43.7
284,거창,2022-08-01,34.7
284,거창,2022-09-01,40.5
284,거창,2022-10-01,64.7
284,거창,2022-11-01,69.3
284,거창,2022-12-01,65.6
283,경주시,2022-01-01,71.5
283,경주시,2022-02-01,71.6
283,경주시,2022-03-01,53.5
283,경주시,2022-04-01,63.0
283,경주시,2022-05-01,69.9
283,경주시,2022-06-01,45.3
283,경주시,2022-07-01,31.0
283,경주시,2022-08-01,33.5
283,경주시,2022-09-01,30.8
283,경주시,2022-10-01,46.4
283,경주시,2022-11-01,62.7
283,경주시,2022-12-01,70.2
185,고산,2022-01-01,47.0
185,고산,2022-02-01,50.5
185,고산,2022-03-01,46.5
185,고산,2022-04-01,62.2
185,고산,2022-05-01,63.2
185,고산,2022-06-01,40.3
185,고산,2022-07-01,58.7
185,고산,2022-08-01,59.4
185,고산,2022-09-01,48.3
185,고산,2022-10-01,67.4
185,고산,2022-11-01,64.5
185,고산,2022-12-01,32.2
172,고창,2022-01-01,55.7
172,고창,2022-02-01,59.2
172,고창,2022-03-01,47.7
172,고창,2022-04-01,65.9
172,고창,2022-05-01,68.2
172,고창,2022-06-01,39.3
172,고창,2022-07-01,40.3
172,고창,2022-08-01,35.7
172,고창,2022-09-01,42.9
172,고창,2022-10-01,67.6
172,고창,2022-11-01,58.8
172,고창,2022-12-01,46.7
251,고창군,2022-01-01,55.7
251,고창군,2022-02-01,61.3
251,고창군,2022-03-01,48.6
251,고창군,2022-04-01,65.8
251,고창군,2022-05-01,65.4
251,고창군,2022-06-01,39.8
251,고창군,2022-07-01,36.8
251,고창군,2022-08-01,30.4
251,고창군,2022-09-01,48.0
251,고창군,2022-10-01,65.8
251,고창군,2022-11-01,60.6
251,고창군,2022-12-01,48.2
262,고흥,2022-01-01,63.9
262,고흥,2022-02-01,68.2
262,고흥,2022-03-01,51.1
262,고흥,2022-04-01,56.3
262,고흥,2022-05-01,62.8
262,고흥,2022-06-01,37.7
262,고흥,2022-07-01,44.8
262,고흥,2022-08-01,35.9
262,고흥,2022-09-01,42.7
262,고흥,2022-10-01,68.0
262,고흥,2022-11-01,57.3
262,고흥,2022-12-01,56.9
266,광양시,2022-01-01,70.5
266,광양시,2022-02-01,70.8
266,광양시,2022-03-01,52.2
266,광양시,2022-04-01,58.8
266,광양시,2022-05-01,63.6
266,광양시,2022-06-01,38.9
266,광양시,2022-07-01,42.4
266,광양시,2022-08-01,32.3
266,광양시,2022-09-01,43.1
266,광양시,2022-10-01,65.0
266,광양시,2022-11-01,58.6
266,광양시,2022-12-01,61.5
156,광주,2022-01-01,61.0
156,광주,2022-02-01,64.9
156,광주,2022-03-01,45.6
156,광주,2022-04-01,65.4
156,광주,2022-05-01,68.6
156,광주,2022-06-01,38.2
156,광주,2022-07-01,41.0
156,광주,2022-08-01,32.0
156,광주,2022-09-01,47.3
156,광주,2022-10-01,66.8
156,광주,2022-11-01,64.6
156,광주,2022-12-01,54.9
279,구미,2022-01-01,61.5
279,구미,2022-02-01,71.9
279,구미,2022-03-01,48.0
279,구미,2022-04-01,62.9
279,구미,2022-05-01,68.2
279,구미,2022-06-01,47.6
279,구미,2022-07-01,41.0
279,구미,2022-08-01,34.4
279,구미,2022-09-01,42.5
279,구미,2022-10-01,57.5
279,구미,2022-11-01,61.2
