지점,지점명,일시,월합강수량(00~24h만)(mm)
105,강릉,2022-01-01,7.4
105,강릉,2022-02-01,1.2
105,강릉,2022-03-01,102.9
105,강릉,2022-04-01,68.8
105,강릉,2022-05-01,5.8
105,강릉,2022-06-01,186.0
105,강릉,2022-07-01,227.9
105,강릉,2022-08-01,307.5
105,강릉,2022-09-01,202.5
105,강릉,2022-10-01,293.2
105,강릉,2022-11-01,62.3
105,강릉,2022-12-01,
259,강진군,2022-01-01,2.2
259,강진군,2022-02-01,1.9
259,강진군,2022-03-01,162.9
259,강진군,2022-04-01,99.0
259,강진군,2022-05-01,1.4
259,강진군,2022-06-01,97.4
259,강진군,2022-07-01,230.8
259,강진군,2022-08-01,158.9
259,강진군,2022-09-01,189.3
259,강진군,2022-10-01,23.5
259,강진군,2022-11-01,44.3
259,강진군,2022-12-01,21.7
201,강화,2022-01-01,9.2
201,강화,2022-02-01,3.2
201,강화,2022-03-01,95.3
201,강화,2022-04-01,17.1
201,강화,2022-05-01,10.6
201,강화,2022-06-01,484.2
201,강화,2022-07-01,220.4
201,강화,2022-08-01,287.1
201,강화,2022-09-01,139.2
201,강화,2022-10-01,182.8
201,강화,2022-11-01,100.2
201,강화,2022-12-01,12.5
294,거제,2022-01-01,0.2
294,거제,2022-02-01,
294,거제,2022-03-01,144.3
294,거제,2022-04-01,164.4
294,거제,2022-05-01,0.3
294,거제,2022-06-01,211.4
294,거제,2022-07-01,173.6
294,거제,2022-08-01,220.0
294,거제,2022-09-01,280.4
294,거제,2022-10-01,14.1
294,거제,2022-11-01,68.1
294,거제,2022-12-01,17.3
284,거창,2022-01-01,0.0
284,거창,2022-02-01,0.8
284,거창,2022-03-01,65.5
284,거창,2022-04-01,44.0
284,거창,2022-05-01,0.0
284,거창,2022-06-01,63.2
284,거창,2022-07-01,128.7
284,거창,2022-08-01,120.2
284,거창,2022-09-01,126.2
284,거창,2022-10-01,22.5
284,거창,2022-11-01,61.8
284,거창,2022-12-01,5.9
283,경주시,2022-01-01,0.6
283,경주시,2022-02-01,0.9
283,경주시,2022-03-01,47.1
283,경주시,2022-04-01,43.3
283,경주시,2022-05-01,2.9
283,경주시,2022-06-01,136.5
283,경주시,2022-07-01,107.8
283,경주시,2022-08-01,114.7
283,경주시,2022-09-01,321.0
283,경주시,2022-10-01,21.2
283,경주시,2022-11-01,27.9
283,경주시,2022-12-01,5.6
185,고산,2022-01-01,31.6
185,고산,2022-02-01,4.6
185,고산,2022-03-01,100.6
185,고산,2022-04-01,77.7
185,고산,2022-05-01,7.1
185,고산,2022-06-01,172.8
185,고산,2022-07-01,258.4
185,고산,2022-08-01,143.2
185,고산,2022-09-01,361.9
185,고산,2022-10-01,8.4
185,고산,2022-11-01,68.4
185,고산,2022-12-01,22.9
172,고창,2022-01-01,7.3
172,고창,2022-02-01,5.1
172,고창,2022-03-01,91.8
172,고창,2022-04-01,38.3
172,고창,2022-05-01,1.5
172,고창,2022-06-01,130.4
172,고창,2022-07-01,120.5
172,고창,2022-08-01,126.9
172,고창,2022-09-01,81.9
172,고창,2022-10-01,40.4
172,고창,2022-11-01,75.8
172,고창,2022-12-01,34.0
251,고창군,2022-01-01,1.9
251,고창군,2022-02-01,2.6
251,고창군,2022-03-01,52.1
251,고창군,2022-04-01,27.4
251,고창군,2022-05-01,0.2
251,고창군,2022-06-01,155.1
251,고창군,2022-07-01,101.7
251,고창군,2022-08-01,51.7
251,고창군,2022-09-01,95.1
251,고창군,2022-10-01,53.7
251,고창군,2022-11-01,91.0
251,고창군,2022-12-01,20.3
262,고흥,2022-01-01,0.2
262,고흥,2022-02-01,0.0
262,고흥,2022-03-01,116.4
262,고흥,2022-04-01,81.6
262,고흥,2022-05-01,1.6
262,고흥,2022-06-01,86.3
262,고흥,2022-07-01,268.7
262,고흥,2022-08-01,109.9
262,고흥,2022-09-01,187.6
262,고흥,2022-10-01,13.2
262,고흥,2022-11-01,60.5
262,고흥,2022-12-01,3.7
266,광양시,2022-01-01,0.3
266,광양시,2022-02-01,0.0
266,광양시,2022-03-01,142.7
266,광양시,2022-04-01,70.2
266,광양시,2022-05-01,1.2
266,광양시,2022-06-01,110.3
266,광양시,2022-07-01,240.7
266,광양시,2022-08-01,186.1
266,광양시,2022-09-01,156.5
266,광양시,2022-10-01,19.1
266,광양시,2022-11-01,120.3
266,광양시,2022-12-01,7.3
156,광주,2022-01-01,0.3
156,광주,2022-02-01,2.7
156,광주,2022-03-01,105.2
156,광주,2022-04-01,49.4
156,광주,2022-05-01,0.4
156,광주,2022-06-01,131.7
156,광주,2022-07-01,169.0
156,광주,2022-08-01,106.4
156,광주,2022-09-01,89.2
156,광주,2022-10-01,38.3
156,광주,2022-11-01,46.7
156,광주,2022-12-01,30.6
279,구미,2022-01-01,0.9
279,구미,2022-02-01,0.3
279,구미,2022-03-01,42.2
279,구미,2022-04-01,42.3
279,구미,2022-05-01,8.2
279,구미,2022-06-01,122.9
279,구미,2022-07-01,113.3
279,구미,2022-08-01,229.2
279,구미,2022-09-01,141.4
279,구미,2022-10-01,32.0
279,구미,2022-11-01,55.0
279,구미,2022-12-01,5.2
140,군산,2022-01-01,4.3
140,군산,2022-02-01,7.1
140,군산,2022-03-01,78.6
140,군산,2022-04-01,83.3
140,군산,2022-05-01,4.9
140,군산,2022-06-01,94.9
140,군산,2022-07-01,152.2
140,군산,2022-08-01,340.9
140,군산,2022-09-01,80.6
140,군산,2022-10-01,73.8
140,군산,2022-11-01,75.4
140,군산,2022-12-01,47.4
238,금산,2022-01-01,1.5
238,금산,2022-02-01,4.1
238,금산,2022-03-01,80.6
238,금산,2022-04-01,63.3
238,금산,2022-05-01,4.7
238,금산,2022-06-01,145.4
238,금산,2022-07-01,183.7
238,금산,2022-08-01,265.7
238,금산,2022-09-01,68.2
238,금산,2022-10-01,59.3
238,금산,2022-11-01,54.2
238,금산,2022-12-01,18.0
253,김해시,2022-01-01,0.0
253,김해시,2022-02-01,0.0
253,김해시,2022-03-01,114.2
253,김해시,2022-04-01,115.2
253,김해시,2022-05-01,5.6
253,김해시,2022-06-01,117.4
253,김해시,2022-07-01,143.6
253,김해시,2022-08-01,173.7
253,김해시,2022-09-01,137.1
253,김해시,2022-10-01,12.7
253,김해시,2022-11-01,42.1
253,김해시,2022-12-01,12.4
247,남원,2022-01-01,0.7
247,남원,2022-02-01,3.9
247,남원,2022-03-01,73.0
247,남원,2022-04-01,42.6
247,남원,2022-05-01,1.6
247,남원,2022-06-01,162.3
247,남원,2022-07-01,158.2
247,남원,2022-08-01,162.7
247,남원,2022-09-01,70.4
247,남원,2022-10-01,53.2
247,남원,2022-11-01,54.0
247,남원,2022-12-01,28.8
295,남해,2022-01-01,0.0
295,남해,2022-02-01,0.0
295,남해,2022-03-01,169.2
295,남해,2022-04-01,142.1
295,남해,2022-05-01,6.7
295,남해,2022-06-01,137.1
295,남해,2022-07-01,236.5
295,남해,2022-08-01,235.0
295,남해,2022-09-01,328.8
295,남해,2022-10-01,18.1
295,남해,2022-11-01,56.9
295,남해,2022-12-01,7.8
100,대관령,2022-01-01,1.3
100,대관령,2022-02-01,2.2
100,대관령,2022-03-01,76.6
100,대관령,2022-04-01,43.5
100,대관령,2022-05-01,9.3
100,대관령,2022-06-01,245.2
100,대관령,2022-07-01,173.3
100,대관령,2022-08-01,415.6
100,대관령,2022-09-01,206.5
100,대관령,2022-10-01,145.4
100,대관령,2022-11-01,40.0
100,대관령,2022-12-01,2.3
143,대구,2022-01-01,0.0
143,대구,2022-02-01,0.1
143,대구,2022-03-01,34.3
143,대구,2022-04-01,38.5
143,대구,2022-05-01,4.2
143,대구,2022-06-01,81.8
143,대구,2022-07-01,88.8
143,대구,2022-08-01,143.3
143,대구,2022-09-01,114.2
143,대구,2022-10-01,25.6
143,대구,2022-11-01,46.6
143,대구,2022-12-01,3.6
133,대전,2022-01-01,1.2
133,대전,2022-02-01,1.4
133,대전,2022-03-01,74.0
133,대전,2022-04-01,69.7
133,대전,2022-05-01,8.1
133,대전,2022-06-01,117.6
133,대전,2022-07-01,195.0
133,대전,2022-08-01,496.1
133,대전,2022-09-01,90.2
133,대전,2022-10-01,89.3
133,대전,2022-11-01,45.8
133,대전,2022-12-01,14.7
98,동두천,2022-01-01,6.5
98,동두천,2022-02-01,7.1
98,동두천,2022-03-01,91.0
98,동두천,2022-04-01,17.8
98,동두천,2022-05-01,16.4
98,동두천,2022-06-01,522.8
98,동두천,2022-07-01,302.7
98,동두천,2022-08-01,506.8
98,동두천,2022-09-01,204.5
98,동두천,2022-10-01,146.3
98,동두천,2022-11-01,88.7
98,동두천,2022-12-01,12.0
106,동해,2022-01-01,10.8
106,동해,2022-02-01,0.8
106,동해,2022-03-01,94.4
106,동해,2022-04-01,42.7
106,동해,2022-05-01,4.4
106,동해,2022-06-01,118.0
106,동해,2022-07-01,159.7
106,동해,2022-08-01,237.2
106,동해,2022-09-01,116.9
106,동해,2022-10-01,260.4
106,동해,2022-11-01,55.7
106,동해,2022-12-01,0.4
165,목포,2022-01-01,4.3
165,목포,2022-02-01,4.5
165,목포,2022-03-01,78.9
165,목포,2022-04-01,74.7
165,목포,2022-05-01,2.6
165,목포,2022-06-01,90.2
165,목포,2022-07-01,196.3
165,목포,2022-08-01,92.3
165,목포,2022-09-01,101.9
165,목포,2022-10-01,38.3
165,목포,2022-11-01,33.1
165,목포,2022-12-01,22.8
273,문경,2022-01-01,3.0
273,문경,2022-02-01,1.9
273,문경,2022-03-01,133.6
273,문경,2022-04-01,68.3
273,문경,2022-05-01,5.0
273,문경,2022-06-01,95.9
273,문경,2022-07-01,216.5
273,문경,2022-08-01,338.6
273,문경,2022-09-01,78.1
273,문경,2022-10-01,59.0
273,문경,2022-11-01,31.6
273,문경,2022-12-01,10.3
288,밀양,2022-01-01,0.0
288,밀양,2022-02-01,0.0
288,밀양,2022-03-01,58.7
288,밀양,2022-04-01,59.6
288,밀양,2022-05-01,3.3
288,밀양,2022-06-01,232.8
288,밀양,2022-07-01,112.8
288,밀양,2022-08-01,176.6
288,밀양,2022-09-01,123.6
288,밀양,2022-10-01,28.7
288,밀양,2022-11-01,37.9
288,밀양,2022-12-01,9.2
102,백령도,2022-01-01,12.2
102,백령도,2022-02-01,4.9
102,백령도,2022-03-01,69.8
102,백령도,2022-04-01,3.7
