지점,지점명,일시,평균기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C)
90,속초,2023-01,0.2,94.7,47.7,,,20230115,,,2.0,8.7,17.8,290,290,20230101,20230120,290,3.8,2.0,215.7,70.65,,0.1,,
90,속초,2023-02,2.7,43.4,26.0,,,20230213,,,1.9,9.1,14.8,290,290,20230228,20230228,290,4.3,2.5,186.6,61.89,,1.4,,
90,속초,2023-03,9.3,10.1,6.3,,,20230312,,,2.1,8.2,13.8,360,270,20230323,20230313,270,4.2,2.6,224.0,60.46,,9.2,,
90,속초,2023-04,12.6,57.0,28.0,5.4,2.7,20230405,20230405.0,20230411.0,2.2,11.3,25.5,270,270,20230411,20230411,270,5.2,2.8,212.2,53.61,,13.9,,
90,속초,2023-05,17.0,81.0,48.4,6.0,2.7,20230506,20230506.0,20230518.0,1.9,8.2,11.9,360,360,20230505,20230505,140,5.6,3.1,232.6,52.66,,21.2,,
90,속초,2023-06,21.9,200.1,38.2,14.6,6.7,20230621,20230621.0,20230613.0,1.8,9.0,13.2,360,340,20230609,20230609,140,5.3,2.7,244.9,55.26,,26.1,,
90,속초,2023-07,25.8,108.2,29.4,27.0,18.9,20230709,20230709.0,20230709.0,1.5,7.7,16.7,270,290,20230705,20230706,140,6.4,2.7,184.5,40.95,,29.6,,
90,속초,2023-08,24.7,669.6,368.7,91.3,16.8,20230810,20230810.0,20230810.0,1.4,11.2,18.6,360,20,20230810,20230810,360,6.9,4.7,121.9,47.36,,28.5,,
90,속초,2023-09,21.7,208.2,76.8,18.7,7.2,20230913,20230913.0,20230913.0,1.4,8.1,13.0,70,70,20230920,20230920,270,6.1,3.8,156.6,41.91,,24.3,,
90,속초,2023-10,16.4,31.4,18.7,6.0,2.7,20231008,20231008.0,20231008.0,1.8,6.8,12.0,20,180,20231027,20231018,270,3.6,2.0,218.1,62.69,,16.4,,
90,속초,2023-11,8.8,60.1,27.7,,,20231103,,,2.4,12.2,23.4,270,270,20231106,20231106,270,3.3,2.0,208.7,68.58,,8.2,,
90,속초,2023-12,2.3,205.0,66.6,,,20231211,,,2.3,11.7,18.1,270,290,20231226,20231216,290,4.0,2.9,174.0,58.72,,1.6,,
93,북춘천,2023-01,-5.2,43.8,25.5,,,20230113,,,0.8,6.2,11.9,270,270,20230120,20230101,320,4.4,3.4,183.1,59.8,286.03,-2.6,-2.3,-1.7
93,북춘천,2023-02,-0.5,1.1,1.1,,,20230210,,,1.0,6.2,11.7,270,320,20230224,20230201,20,3.4,1.9,216.2,71.59,355.77,0.4,-0.5,-0.4
93,북춘천,2023-03,7.4,8.4,6.1,,,20230312,,,1.3,7.2,12.4,250,320,20230326,20230312,200,3.3,1.8,272.6,73.58,513.1,8.9,7.9,8.0
93,북춘천,2023-04,12.1,95.7,40.6,6.3,1.8,20230405,20230429.0,20230429.0,1.6,10.1,16.1,340,340,20230416,20230416,200,5.5,3.6,208.2,52.67,493.38,14.4,13.4,13.5
