지점,지점명,일시,평균기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C)
90,속초,2022-01,-0.6,3.6,3.1,,,20220119.0,,,1.9,7.1,12.0,340,270,20220127,20220113,290,3.2,1.7,227.2,74.37,,0.2,,
90,속초,2022-02,0.3,11.1,8.1,,,20220213.0,,,2.3,7.8,15.4,270,250,20220226,20220226,290,2.5,1.2,243.8,80.76,,0.5,,
90,속초,2022-03,7.1,114.5,29.2,,,20220319.0,,,2.1,11.9,16.5,360,340,20220326,20220326,270,4.8,3.6,189.4,51.08,,7.2,,
90,속초,2022-04,14.2,33.5,15.6,2.7,0.8,20220429.0,20220429.0,20220429.0,2.3,8.6,22.3,270,270,20220409,20220409,270,3.7,1.8,269.0,67.93,,16.2,,
90,속초,2022-05,18.5,9.1,7.7,2.9,0.9,20220507.0,20220507.0,20220507.0,2.2,8.4,15.9,270,290,20220507,20220504,270,4.3,1.6,312.7,70.76,,24.0,,
90,속초,2022-06,20.9,248.7,75.4,22.8,13.7,20220606.0,20220623.0,20220623.0,1.9,7.9,14.7,110,250,20220606,20220628,140,6.5,4.0,169.6,38.26,,24.8,,
90,속초,2022-07,24.3,213.1,87.2,15.9,6.2,20220721.0,20220721.0,20220715.0,1.5,7.5,10.3,360,360,20220714,20220714,140,6.6,4.3,135.5,30.07,,28.5,,
90,속초,2022-08,24.6,323.7,110.9,23.0,8.8,20220809.0,20220809.0,20220814.0,1.3,6.2,13.9,360,290,20220805,20220815,270,6.7,3.4,151.1,35.75,0.0,27.2,,
90,속초,2022-09,20.3,263.8,119.4,14.6,5.3,20220905.0,20220919.0,20220919.0,1.8,8.6,14.8,50,270,20220919,20220923,270,5.4,2.5,203.7,54.55,,22.7,,
90,속초,2022-10,13.9,377.1,76.8,21.7,6.5,20221004.0,20221027.0,20221006.0,1.8,8.6,19.8,270,290,20221010,20221010,270,5.5,3.8,153.8,44.22,,14.6,,
90,속초,2022-11,11.0,38.4,9.8,0.0,0.0,20221128.0,20221111.0,20221111.0,1.9,10.3,23.5,270,270,20221125,20221125,270,4.0,2.2,198.8,65.35,,9.7,,
90,속초,2022-12,-0.2,0.7,0.7,,,20221213.0,,,2.4,8.8,17.0,290,270,20221231,20221222,290,2.8,1.3,233.5,78.81,,-0.1,,
93,북춘천,2022-01,-5.1,1.9,1.5,,,20220119.0,,,0.8,6.4,9.9,250,250,20220113,20220113,20,3.1,2.0,219.2,71.52,314.35,-3.7,-3.6,-2.8
93,북춘천,2022-02,-3.5,6.3,4.6,,,20220226.0,,,1.5,8.1,13.4,200,250,20220226,20220222,250,2.8,1.4,224.1,74.13,380.96,-1.6,-2.1,-1.7
93,북춘천,2022-03,5.7,88.3,31.7,,,20220326.0,,,1.4,9.1,15.7,200,200,20220304,20220304,200,5.0,3.0,195.6,52.72,427.61,6.4,5.7,5.8
93,북춘천,2022-04,13.0,27.7,16.7,3.6,2.1,20220429.0,20220429.0,20220413.0,1.7,7.1,13.1,90,70,20220415,20220428,200,3.7,2.5,264.2,66.78,620.33,16.5,14.9,15.2
93,북춘천,2022-05,17.2,8.1,4.6,3.9,2.5,20220525.0,20220525.0,20220525.0,1.7,8.6,15.6,230,230,20220501,20220501,200,4.3,2.3,281.3,63.79,716.21,22.7,21.0,21.0
93,북춘천,2022-06,21.9,386.5,129.9,23.0,10.1,20220630.0,20220623.0,20220609.0,1.3,6.8,13.4,110,90,20220614,20220614,200,7.0,5.0,142.7,32.22,497.81,24.8,23.9,23.9
93,북춘천,2022-07,26.0,223.8,74.7,28.1,11.3,20220713.0,20220713.0,20220710.0,1.0,6.5,10.6,110,90,20220704,20220704,200,7.1,5.2,174.6,38.84,582.61,29.8,28.4,28.3
93,북춘천,2022-08,24.5,418.4,110.8,32.0,14.1,20220809.0,20220808.0,20220815.0,1.0,6.1,11.6,200,290,20220815,20220809,230,7.6,5.4,121.9,29.88,421.2,27.3,26.9,26.9
93,북춘천,2022-09,19.8,239.0,158.0,14.8,4.0,20220905.0,20220905.0,20220904.0,1.1,6.7,11.5,20,20,20220919,20220919,50,6.0,3.3,207.0,55.45,496.4,23.4,22.3,22.5
93,북춘천,2022-10,11.8,116.1,82.1,22.5,11.7,20221003.0,20221003.0,20221003.0,1.0,6.6,9.4,250,230,20221010,20221010,340,5.3,3.6,186.3,53.52,382.09,14.0,14.2,14.7
93,북춘천,2022-11,6.5,64.0,36.1,,,20221112.0,,,0.9,7.0,12.3,200,340,20221113,20221129,20,4.4,3.0,175.7,57.63,275.44,7.5,8.2,8.8
93,북춘천,2022-12,-6.1,10.7,4.6,,,20221221.0,,,1.0,6.8,13.1,250,270,20221228,20221217,20,3.8,2.6,190.6,63.98,275.54,-2.5,-1.7,-0.8
95,철원,2022-01,-5.8,2.5,1.6,,,20220119.0,,,0.8,5.0,10.6,290,290,20220113,20220113,200,3.8,1.6,211.0,69.02,297.08,-4.7,,
95,철원,2022-02,-3.9,8.9,7.6,,,20220226.0,,,1.4,6.3,12.5,290,230,20220222,20220227,200,3.8,1.4,219.4,72.67,354.47,-2.9,,
