지점,지점명,일시,평균기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C)
90,속초,2021-01,-1.2,0,0,,,20210131,,,2.3,9,18.9,290,250,20210107,20210128,290,3.6,2.3,200.4,65.58,,-.3,,
90,속초,2021-02,3.1,5,4.8,,,20210227,,,2.3,8.1,17.3,290,290,20210202,20210219,270,3.6,1.7,214.2,70.93,,4.5,,
90,속초,2021-03,8,104.2,73.4,,,20210301,,,2,9.3,18.1,270,290,20210329,20210329,270,5,3.4,209,56.29,,8.4,,
90,속초,2021-04,12.3,97.2,40.5,5.9,1.7,20210403,20210403,20210403,2.3,9.5,19.9,270,290,20210419,20210419,270,4.7,2.8,228.4,57.62,,14.7,,
90,속초,2021-05,16.7,154.9,67,12.1,3.4,20210516,20210516,20210516,2.1,10,22.8,270,270,20210507,20210507,270,5.2,3,239.6,54.21,,19.8,,
90,속초,2021-06,20.3,43.8,10.2,7.1,6.6,20210603,20210622,20210622,1.7,8,15.3,360,290,20210603,20210604,140,6.1,4.1,185.7,41.89,,23.3,,
90,속초,2021-07,25.5,104.1,50.3,13.3,3.8,20210704,20210704,20210704,1.5,5.9,9.5,360,360,20210704,20210704,140,5.2,2.1,270,59.92,,33.3,,
90,속초,2021-08,24.4,247.1,83.5,67.5,22.5,20210808,20210808,20210808,1.6,7.3,12.5,20,290,20210809,20210822,270,7.4,4.1,133,31.51,,27.2,,
90,속초,2021-09,20.9,141.6,43.1,9.5,6.8,20210907,20210905,20210924,1.7,8.7,11.9,360,360,20210929,20210929,270,5.5,3.1,195.8,52.49,,23.9,,
90,속초,2021-10,15.5,216.9,56.9,20.4,8.2,20211005,20211015,20211015,1.8,8.2,13,70,270,20211019,20211004,270,5.5,3.7,174,50.09,,16.1,,
90,속초,2021-11,9.9,16.2,10.9,,,20211102,,,2.2,9.3,17,290,290,20211111,20211123,290,3.5,2.1,208.2,70.99,,9.2,,
90,속초,2021-12,2.8,68.7,42.1,,,20211224,,,2.2,9.2,18.4,270,320,20211202,20211202,290,3,1.7,219.8,74.21,,2.7,,
93,북춘천,2021-01,-5.7,14.3,3.3,,,20210118,,,1,10.2,16.8,270,270,20210128,20210128,20,3.9,3,181.6,59.23,274.71,-3.6,-3.5,-2.9
93,북춘천,2021-02,.4,5.6,2.6,,,20210203,,,1.5,7.9,13.5,340,230,20210204,20210215,200,3.6,2.3,210.7,69.65,366.24,1.3,.3,.6
93,북춘천,2021-03,7.1,100.1,66.2,,,20210301,,,1.3,8.8,14.8,250,250,20210323,20210323,200,4.7,2.8,217.1,58.5,471.84,8.9,7.8,8
93,북춘천,2021-04,12.4,110.2,56.6,9.2,2.1,20210403,20210403,20210403,1.5,7.8,14,290,290,20210417,20210417,200,4.9,3,225.5,56.97,564.07,15.5,14.2,14.4
93,북춘천,2021-05,15.6,159.3,67.4,11.7,3.6,20210516,20210516,20210507,1.4,9.1,16.8,270,320,20210509,20210509,230,6,4,190.3,43.13,569.66,18.8,18,18
93,북춘천,2021-06,21.6,128.1,26.2,15.5,13.3,20210626,20210628,20210628,1.2,7.3,13.2,250,230,20210604,20210604,200,6.4,4.1,186.6,42.13,599.05,24.8,24,23.9
93,북춘천,2021-07,26.7,202,58.7,28.2,12.6,20210708,20210708,20210715,1,7.7,13.1,140,230,20210719,20210715,250,6,3.6,251.7,56.01,697.93,32.2,29.9,29.7
93,북춘천,2021-08,24.3,122.5,31.2,26.1,11.5,20210801,20210801,20210801,1.1,7.2,13.1,340,320,20210806,20210810,50,7.4,4.7,154,36.54,480.64,28.1,27.6,27.7
93,북춘천,2021-09,20.7,103.7,37.5,11.7,4.8,20210921,20210921,20210921,1.1,6.2,12,230,50,20210922,20210906,50,6.1,4.3,188.6,50.56,464.07,23.5,22.9,23.1
93,북춘천,2021-10,13.1,64.4,29.7,11.6,3.4,20211004,20211004,20211004,.9,5.2,8.7,340,340,20211016,20211016,50,5.7,4.2,160.2,46.06,342.76,15,15.1,15.7
93,북춘천,2021-11,5.3,49.8,27.1,,,20211130,,,1.2,7.9,15.7,250,250,20211123,20211123,250,4.6,3.3,163.1,53.55,271.29,5.7,6.2,6.9
93,북춘천,2021-12,-2.2,5.2,1.9,,,20211219,,,1.1,8.4,13.8,250,250,20211217,20211217,340,3.9,3.4,173.8,58.36,252.38,-1.1,-.8,.2
95,철원,2021-01,-5.9,7.6,3.1,,,20210121,,,1.2,6.8,17.1,320,230,20210118,20210118,200,4.5,2.8,189.5,61.95,261.89,-3.5,,
95,철원,2021-02,.1,4.8,2.5,,,20210203,,,1.5,5.7,13.9,290,290,20210217,20210217,200,4,2.4,203,67.17,337.51,.8,,
95,철원,2021-03,6.2,103.7,63.2,,,20210301,,,1.5,7.4,15.3,20,290,20210301,20210321,20,4.5,2.9,240.7,64.83,469.76,7.5,,
95,철원,2021-04,12,99.3,43.9,7.9,2.4,20210403,20210403,20210403,1.7,6.4,14.7,320,340,20210417,20210406,20,4.5,2.8,262,66.14,567.05,14.3,,
95,철원,2021-05,15.5,199.1,79.4,14.8,3.5,20210516,20210516,20210528,1.5,7.3,15,290,290,20210524,20210524,230,5.5,3.8,247.5,56.02,590.74,18.8,,
95,철원,2021-06,21.2,67.6,18,15.2,5.3,20210630,20210630,20210630,1.3,6,11.9,20,90,20210621,20210616,230,6.2,3.5,247.4,55.83,615.72,24.5,,
95,철원,2021-07,26.1,117.2,52.5,26.9,17.1,20210708,20210708,20210708,1.1,7.2,14.2,20,110,20210708,20210708,230,5.6,2.9,289.1,64.22,691.79,31.2,,
