지점명,합계 일사량(MJ/m2)_count,합계 일사량(MJ/m2)_mean,합계 일사량(MJ/m2)_std,일강수량(mm)_count,일강수량(mm)_mean,일강수량(mm)_std
강릉,1827,14.026518883415436,7.307824253713586,1827,12.982895457033388,14.995344896196224
강진군,1827,14.533289545703338,7.427355351608989,1827,11.699972632731253,14.754373504589818
강화,1826,12.600093099671414,0.23673542734575498,1826,11.554162102957285,13.495387408205207
거제,1827,15.604630541871922,0.2608724783373353,1827,18.87200328407225,19.28152154507236
거창,1826,11.991697699890471,0.2607646680940748,1826,8.978313253012047,11.184628301790635
경주시,1825,14.547561643835616,7.153844140876224,1825,9.533041095890411,10.789113554131616
고산,1827,13.76528188286809,7.44822347474943,1827,8.592939244663382,11.814883519183825
고창,1795,14.293091922005571,7.384708685824295,1795,8.362144846796657,10.305652550617928
고창군,1827,14.559009304871374,7.384535375303836,1827,7.949972632731254,10.811014157223374
고흥,1827,15.449523809523809,2.9466351951940997,1827,11.788970990695129,14.0877259555554
광양시,1827,15.041735084838534,7.201283695036395,1827,13.778434592227697,16.126142356997395
광주,1827,15.26342638204707,7.2635567005713,1827,10.537328954570334,14.045016893648773
구미,1827,13.597263273125343,2.2215450693765844,1827,9.332348111658456,11.205241332135225
군산,1826,10.97,0.34633422767648814,1826,10.708871851040527,15.408147040437187
금산,1827,13.739737274220033,0.508075678214174,1827,10.21455938697318,12.608133115467254
김해시,1827,14.782074438970989,7.199110760997553,1827,13.437958401751507,15.237207391564871
남원,1825,10.712882191780821,0.8064168498888685,1825,10.085397260273972,12.806786773638935
남해,1827,16.508056923918993,0.26090415088187413,1827,18.122112753147235,20.278508074530343
대관령,1827,14.942348111658456,7.5207656674612355,1827,8.943814997263273,11.203794613927819
대구,1827,15.23784345922277,6.887246253378122,1827,8.64296661193213,9.830288044886299
대전,1827,14.867060755336617,7.3240916253113815,1827,10.069074986316366,13.585505909999382
동두천,1827,13.750596606458675,5.704180162881676,1827,10.940914066776136,13.217664757828182
동해,1827,15.269233716475096,3.079528573685631,1827,9.802654625068419,11.304479131103642
목포,1827,14.907416529830321,7.386777439807348,1827,8.615407772304325,11.153276518255373
문경,1827,10.460191570881227,0.1213903413711302,1827,11.470771756978655,12.089262618236718
밀양,1826,13.798050383351589,0.26073012275564034,1826,10.682913472070098,11.228803639669819
백령도,1827,15.083234811165845,8.099930617198622,1827,7.642911877394636,10.085572007089775
보령,1827,15.730623973727424,3.1899012067805024,1827,10.08576902025178,13.776073953728666
보성군,1827,15.524066776135742,7.510111412646871,1827,13.451012588943623,16.449112684876823
보은,1827,3.9362671045429667,2.269179559149299,1827,10.393486590038313,12.419838970353792
봉화,1826,11.300421686746988,0.12132188658707381,1826,10.894441401971523,11.34277806758719
부산,1827,15.860405035577449,7.455588577749956,1827,15.370361247947455,18.437353412439368
부안,1827,12.17336617405583,0.60800933783144,1827,9.64671592775041,12.678926753593274
부여,1827,11.980229885057472,0.5080845326905868,1827,11.549014778325123,14.713607958629362
북강릉,1827,14.211795292829777,7.563186424323322,1827,11.518035030103997,15.740685074630862
북부산,721,15.565880721220527,7.271916000170147,721,15.44861303744799,19.1578212782461
북창원,1827,14.663032293377121,6.994300269126769,1827,15.347454844006569,16.67333463910017
북춘천,1827,14.61383689107827,7.3285841148080415,1827,10.0623973727422,12.032112966650011
산청,1827,14.7012096332786,0.2608758383173375,1827,12.470935960591135,13.341255257276904
상주,1827,14.77951833607006,5.908672621211356,1827,10.864230979748221,11.484904254556207
서귀포,1827,15.059797482211275,3.0471080884448716,1827,12.98024083196497,18.79329039304693
서산,1827,14.460399562123701,7.31695590437972,1827,11.279419813902573,14.942965889160822
서울,1827,14.286360153256705,7.295947760315935,1827,10.709797482211275,13.193857158424343
서청주,610,15.373016393442624,8.127379302992217,610,12.74877049180328,17.22201647669617
성산,1827,13.634307608100713,0.8221030651230459,1827,13.818336070060207,17.23267095896267
세종,1825,14.6273698630137,4.629069343925144,1825,12.455671232876712,14.185788574470303
속초,1827,14.738664477285168,3.1632347832975003,1827,11.6648056923919,16.121701408387892
수원,1827,14.209135194307608,7.023605825477368,1827,10.600465243568692,14.655553753015482
순창군,1827,14.898839627805145,7.468335506355705,1827,11.062698412698412,14.254372523310545
순천,1827,9.030000000000001,1.6853878814867724,1827,12.337848932676518,14.846719856464375
안동,1827,15.249326765188835,7.245227989957451,1827,9.303612479474548,9.521100857154671
양산시,1827,14.8088122605364,7.04561522746728,1827,15.027339901477832,16.70111774682715
양평,1827,13.420065681444992,0.23686454981843813,1827,11.57599890530925,14.491868306620377
여수,1827,14.928013136288998,7.3287997926470565,1827,13.032183908045976,14.446663766017043
영광군,1827,14.723305966064586,7.748093078189185,1827,8.572167487684728,10.960348284193119
영덕,1825,8.798306849315068,1.6921645518991955,1825,9.251561643835617,10.199728508634129
