지점,지점명,일시,일조율(%)
105,강릉,2023-01-01,71.2
105,강릉,2023-02-01,54.3
105,강릉,2023-03-01,61.9
105,강릉,2023-04-01,56.0
105,강릉,2023-05-01,50.7
105,강릉,2023-06-01,49.8
105,강릉,2023-07-01,35.8
105,강릉,2023-08-01,32.9
105,강릉,2023-09-01,39.9
105,강릉,2023-10-01,61.3
105,강릉,2023-11-01,70.7
105,강릉,2023-12-01,62.4
259,강진군,2023-01-01,53.6
259,강진군,2023-02-01,55.6
259,강진군,2023-03-01,59.0
259,강진군,2023-04-01,47.0
259,강진군,2023-05-01,40.7
259,강진군,2023-06-01,41.9
259,강진군,2023-07-01,20.1
259,강진군,2023-08-01,52.6
259,강진군,2023-09-01,39.7
259,강진군,2023-10-01,56.9
259,강진군,2023-11-01,43.7
259,강진군,2023-12-01,36.7
201,강화,2023-01-01,58.9
201,강화,2023-02-01,67.7
201,강화,2023-03-01,61.5
201,강화,2023-04-01,45.2
201,강화,2023-05-01,49.8
201,강화,2023-06-01,41.9
201,강화,2023-07-01,33.2
201,강화,2023-08-01,41.4
201,강화,2023-09-01,47.0
201,강화,2023-10-01,61.2
201,강화,2023-11-01,53.0
201,강화,2023-12-01,42.2
294,거제,2023-01-01,59.8
294,거제,2023-02-01,51.6
294,거제,2023-03-01,56.0
294,거제,2023-04-01,51.8
294,거제,2023-05-01,45.8
294,거제,2023-06-01,44.4
294,거제,2023-07-01,25.7
294,거제,2023-08-01,46.5
294,거제,2023-09-01,37.2
294,거제,2023-10-01,59.6
294,거제,2023-11-01,53.2
294,거제,2023-12-01,48.0
284,거창,2023-01-01,67.8
284,거창,2023-02-01,61.4
284,거창,2023-03-01,64.2
284,거창,2023-04-01,53.6
284,거창,2023-05-01,46.2
284,거창,2023-06-01,52.5
284,거창,2023-07-01,34.6
284,거창,2023-08-01,48.2
284,거창,2023-09-01,43.2
284,거창,2023-10-01,64.2
284,거창,2023-11-01,67.4
284,거창,2023-12-01,56.4
283,경주시,2023-01-01,70.0
283,경주시,2023-02-01,53.4
283,경주시,2023-03-01,55.2
283,경주시,2023-04-01,56.5
283,경주시,2023-05-01,48.6
283,경주시,2023-06-01,50.0
283,경주시,2023-07-01,35.3
283,경주시,2023-08-01,43.5
283,경주시,2023-09-01,36.1
283,경주시,2023-10-01,64.3
283,경주시,2023-11-01,68.0
283,경주시,2023-12-01,61.7
185,고산,2023-01-01,34.6
185,고산,2023-02-01,39.8
185,고산,2023-03-01,53.7
185,고산,2023-04-01,49.2
185,고산,2023-05-01,35.7
185,고산,2023-06-01,33.4
185,고산,2023-07-01,19.8
185,고산,2023-08-01,65.9
185,고산,2023-09-01,54.8
185,고산,2023-10-01,66.5
185,고산,2023-11-01,43.4
185,고산,2023-12-01,25.5
172,고창,2023-01-01,52.9
172,고창,2023-02-01,59.0
172,고창,2023-03-01,65.1
172,고창,2023-04-01,48.7
172,고창,2023-05-01,44.0
172,고창,2023-06-01,51.8
172,고창,2023-07-01,34.1
172,고창,2023-08-01,55.5
172,고창,2023-09-01,42.6
172,고창,2023-10-01,60.8
172,고창,2023-11-01,44.5
172,고창,2023-12-01,30.4
251,고창군,2023-01-01,49.5
251,고창군,2023-02-01,56.0
251,고창군,2023-03-01,62.2
251,고창군,2023-04-01,45.9
251,고창군,2023-05-01,40.4
251,고창군,2023-06-01,41.0
251,고창군,2023-07-01,23.7
251,고창군,2023-08-01,44.0
251,고창군,2023-09-01,37.6
251,고창군,2023-10-01,58.8
251,고창군,2023-11-01,42.1
251,고창군,2023-12-01,27.8
262,고흥,2023-01-01,61.6
262,고흥,2023-02-01,55.4
262,고흥,2023-03-01,59.7
262,고흥,2023-04-01,47.2
262,고흥,2023-05-01,40.4
262,고흥,2023-06-01,41.7
262,고흥,2023-07-01,19.9
262,고흥,2023-08-01,52.0
262,고흥,2023-09-01,44.6
262,고흥,2023-10-01,65.2
262,고흥,2023-11-01,58.5
262,고흥,2023-12-01,50.1
266,광양시,2023-01-01,65.6
266,광양시,2023-02-01,59.1
266,광양시,2023-03-01,60.0
266,광양시,2023-04-01,48.6
266,광양시,2023-05-01,43.9
266,광양시,2023-06-01,47.0
266,광양시,2023-07-01,21.3
266,광양시,2023-08-01,48.7
266,광양시,2023-09-01,42.1
266,광양시,2023-10-01,60.2
266,광양시,2023-11-01,56.8
266,광양시,2023-12-01,53.5
156,광주,2023-01-01,59.5
156,광주,2023-02-01,60.2
156,광주,2023-03-01,64.1
156,광주,2023-04-01,50.0
156,광주,2023-05-01,44.8
156,광주,2023-06-01,48.3
156,광주,2023-07-01,26.9
156,광주,2023-08-01,51.0
156,광주,2023-09-01,42.9
156,광주,2023-10-01,66.0
156,광주,2023-11-01,53.0
156,광주,2023-12-01,41.2
279,구미,2023-01-01,57.8
279,구미,2023-02-01,54.0
279,구미,2023-03-01,60.3
279,구미,2023-04-01,53.1
279,구미,2023-05-01,49.0
279,구미,2023-06-01,52.4
279,구미,2023-07-01,31.7
279,구미,2023-08-01,44.9
279,구미,2023-09-01,40.8
279,구미,2023-10-01,60.2
279,구미,2023-11-01,55.5
279,구미,2023-12-01,48.3
140,군산,2023-01-01,64.5
140,군산,2023-02-01,61.0
140,군산,2023-03-01,65.3
140,군산,2023-04-01,49.0
140,군산,2023-05-01,50.1
140,군산,2023-06-01,51.4
140,군산,2023-07-01,33.8
140,군산,2023-08-01,53.8
140,군산,2023-09-01,44.6
140,군산,2023-10-01,65.6
140,군산,2023-11-01,52.9
140,군산,2023-12-01,34.0
238,금산,2023-01-01,62.0
238,금산,2023-02-01,57.2
238,금산,2023-03-01,65.2
238,금산,2023-04-01,49.3
238,금산,2023-05-01,45.2
238,금산,2023-06-01,51.7
238,금산,2023-07-01,29.8
238,금산,2023-08-01,40.8
238,금산,2023-09-01,38.3
238,금산,2023-10-01,56.4
238,금산,2023-11-01,56.9
238,금산,2023-12-01,45.2
253,김해시,2023-01-01,72.4
253,김해시,2023-02-01,57.9
253,김해시,2023-03-01,57.1
253,김해시,2023-04-01,54.4
253,김해시,2023-05-01,45.5
253,김해시,2023-06-01,45.1
253,김해시,2023-07-01,30.7
253,김해시,2023-08-01,47.3
253,김해시,2023-09-01,39.9
253,김해시,2023-10-01,63.2
253,김해시,2023-11-01,66.0
253,김해시,2023-12-01,63.6
247,남원,2023-01-01,57.4
247,남원,2023-02-01,56.6
247,남원,2023-03-01,64.8
247,남원,2023-04-01,48.7
247,남원,2023-05-01,44.4
247,남원,2023-06-01,46.8
247,남원,2023-07-01,29.4
247,남원,2023-08-01,48.8
247,남원,2023-09-01,41.6
247,남원,2023-10-01,63.1
247,남원,2023-11-01,50.8
247,남원,2023-12-01,43.7
295,남해,2023-01-01,65.2
295,남해,2023-02-01,57.0
295,남해,2023-03-01,58.5
295,남해,2023-04-01,49.5
295,남해,2023-05-01,42.9
295,남해,2023-06-01,44.4
295,남해,2023-07-01,22.6
295,남해,2023-08-01,49.5
295,남해,2023-09-01,40.0
295,남해,2023-10-01,64.3
295,남해,2023-11-01,60.0
295,남해,2023-12-01,56.2
100,대관령,2023-01-01,52.2
100,대관령,2023-02-01,60.1
100,대관령,2023-03-01,66.7
100,대관령,2023-04-01,55.3
100,대관령,2023-05-01,50.7
100,대관령,2023-06-01,49.4
100,대관령,2023-07-01,33.3
100,대관령,2023-08-01,33.7
100,대관령,2023-09-01,37.5
100,대관령,2023-10-01,60.1
100,대관령,2023-11-01,61.6
100,대관령,2023-12-01,53.8
143,대구,2023-01-01,70.2
143,대구,2023-02-01,60.2
143,대구,2023-03-01,65.0
143,대구,2023-04-01,57.2
143,대구,2023-05-01,49.8
143,대구,2023-06-01,50.3
143,대구,2023-07-01,31.1
143,대구,2023-08-01,45.2
143,대구,2023-09-01,44.6
143,대구,2023-10-01,67.3
143,대구,2023-11-01,68.4
143,대구,2023-12-01,62.6
133,대전,2023-01-01,62.1
133,대전,2023-02-01,58.3
133,대전,2023-03-01,68.3
133,대전,2023-04-01,51.5
133,대전,2023-05-01,51.8
133,대전,2023-06-01,52.4
133,대전,2023-07-01,33.2
133,대전,2023-08-01,44.4
133,대전,2023-09-01,42.2
133,대전,2023-10-01,65.1
133,대전,2023-11-01,54.4
133,대전,2023-12-01,46.8
98,동두천,2023-01-01,60.9
98,동두천,2023-02-01,65.2
98,동두천,2023-03-01,67.8
98,동두천,2023-04-01,50.3
98,동두천,2023-05-01,55.4
98,동두천,2023-06-01,43.6
98,동두천,2023-07-01,36.6
98,동두천,2023-08-01,38.3
98,동두천,2023-09-01,44.4
98,동두천,2023-10-01,59.2
98,동두천,2023-11-01,53.0
98,동두천,2023-12-01,51.0
106,동해,2023-01-01,69.0
106,동해,2023-02-01,58.0
106,동해,2023-03-01,62.2
106,동해,2023-04-01,57.2
106,동해,2023-05-01,54.3
106,동해,2023-06-01,54.6
106,동해,2023-07-01,39.1
106,동해,2023-08-01,43.1
106,동해,2023-09-01,45.7
106,동해,2023-10-01,61.1
106,동해,2023-11-01,67.7
106,동해,2023-12-01,62.3
165,목포,2023-01-01,53.7
165,목포,2023-02-01,55.7
165,목포,2023-03-01,61.2
165,목포,2023-04-01,49.2
165,목포,2023-05-01,42.4
165,목포,2023-06-01,41.8
165,목포,2023-07-01,25.1
165,목포,2023-08-01,56.6
165,목포,2023-09-01,49.2
165,목포,2023-10-01,63.9
165,목포,2023-11-01,46.0
165,목포,2023-12-01,32.1
273,문경,2023-01-01,60.9
273,문경,2023-02-01,60.1
273,문경,2023-03-01,64.7
273,문경,2023-04-01,50.3
273,문경,2023-05-01,49.2
273,문경,2023-06-01,50.1
273,문경,2023-07-01,30.8
273,문경,2023-08-01,41.7
273,문경,2023-09-01,43.5
273,문경,2023-10-01,62.8
273,문경,2023-11-01,58.9
273,문경,2023-12-01,45.0
288,밀양,2023-01-01,64.0
288,밀양,2023-02-01,59.3
288,밀양,2023-03-01,61.4
288,밀양,2023-04-01,53.4
288,밀양,2023-05-01,46.3
288,밀양,2023-06-01,48.0
288,밀양,2023-07-01,30.4
288,밀양,2023-08-01,48.5
288,밀양,2023-09-01,44.4
288,밀양,2023-10-01,66.5
288,밀양,2023-11-01,63.0
288,밀양,2023-12-01,56.7
102,백령도,2023-01-01,50.1
102,백령도,2023-02-01,68.2
102,백령도,2023-03-01,56.0
102,백령도,2023-04-01,48.6
102,백령도,2023-05-01,49.1
102,백령도,2023-06-01,52.1
102,백령도,2023-07-01,39.4
102,백령도,2023-08-01,49.4
102,백령도,2023-09-01,53.3
102,백령도,2023-10-01,61.6
102,백령도,2023-11-01,40.6
102,백령도,2023-12-01,28.4
235,보령,2023-01-01,61.3
235,보령,2023-02-01,63.4
235,보령,2023-03-01,65.5
235,보령,2023-04-01,47.7
235,보령,2023-05-01,48.3
235,보령,2023-06-01,50.3
235,보령,2023-07-01,32.9
235,보령,2023-08-01,53.4
235,보령,2023-09-01,45.5
235,보령,2023-10-01,65.4
235,보령,2023-11-01,46.8
235,보령,2023-12-01,34.3
258,보성군,2023-01-01,63.7
258,보성군,2023-02-01,57.4
258,보성군,2023-03-01,60.6
258,보성군,2023-04-01,48.3
258,보성군,2023-05-01,41.2
258,보성군,2023-06-01,47.5
258,보성군,2023-07-01,20.4
258,보성군,2023-08-01,57.0
258,보성군,2023-09-01,45.6
258,보성군,2023-10-01,67.8
258,보성군,2023-11-01,58.2
258,보성군,2023-12-01,50.3
226,보은,2023-01-01,61.6
226,보은,2023-02-01,58.5
226,보은,2023-03-01,65.0
226,보은,2023-04-01,49.6
226,보은,2023-05-01,49.1
226,보은,2023-06-01,50.1
226,보은,2023-07-01,31.5
226,보은,2023-08-01,46.5
226,보은,2023-09-01,40.0
226,보은,2023-10-01,60.1
226,보은,2023-11-01,57.0
226,보은,2023-12-01,41.2
271,봉화,2023-01-01,64.6
271,봉화,2023-02-01,56.1
271,봉화,2023-03-01,63.2
271,봉화,2023-04-01,47.9
271,봉화,2023-05-01,49.9
271,봉화,2023-06-01,48.0
271,봉화,2023-07-01,31.6
271,봉화,2023-08-01,41.5
271,봉화,2023-09-01,40.0
271,봉화,2023-10-01,47.2
271,봉화,2023-11-01,59.9
271,봉화,2023-12-01,56.1
159,부산,2023-01-01,74.7
159,부산,2023-02-01,58.1
159,부산,2023-03-01,58.2
159,부산,2023-04-01,55.2
159,부산,2023-05-01,46.3
159,부산,2023-06-01,46.0
159,부산,2023-07-01,32.4
159,부산,2023-08-01,51.0
159,부산,2023-09-01,40.5
159,부산,2023-10-01,67.6
159,부산,2023-11-01,69.8
159,부산,2023-12-01,64.2
243,부안,2023-01-01,53.0
243,부안,2023-02-01,59.4
243,부안,2023-03-01,64.3
243,부안,2023-04-01,45.4
243,부안,2023-05-01,48.2
243,부안,2023-06-01,48.5
243,부안,2023-07-01,33.2
243,부안,2023-08-01,53.7
243,부안,2023-09-01,41.4
243,부안,2023-10-01,63.3
243,부안,2023-11-01,45.0
243,부안,2023-12-01,30.0
236,부여,2023-01-01,62.1
236,부여,2023-02-01,60.1
236,부여,2023-03-01,67.4
236,부여,2023-04-01,48.6
236,부여,2023-05-01,48.9
236,부여,2023-06-01,49.8
236,부여,2023-07-01,31.0
236,부여,2023-08-01,47.7
236,부여,2023-09-01,40.8
236,부여,2023-10-01,57.9
236,부여,2023-11-01,54.3
236,부여,2023-12-01,38.4
104,북강릉,2023-01-01,71.5
104,북강릉,2023-02-01,57.5
104,북강릉,2023-03-01,61.2
104,북강릉,2023-04-01,58.3
104,북강릉,2023-05-01,53.8
104,북강릉,2023-06-01,56.0
104,북강릉,2023-07-01,39.8
104,북강릉,2023-08-01,35.2
104,북강릉,2023-09-01,43.4
104,북강릉,2023-10-01,62.6
104,북강릉,2023-11-01,73.0
104,북강릉,2023-12-01,63.2
296,북부산,2023-01-01,54.1
296,북부산,2023-02-01,104.5
296,북부산,2023-03-01,55.9
296,북부산,2023-04-01,53.7
296,북부산,2023-05-01,43.7
296,북부산,2023-06-01,44.3
296,북부산,2023-07-01,30.0
296,북부산,2023-08-01,48.4
296,북부산,2023-09-01,39.1
296,북부산,2023-10-01,64.7
296,북부산,2023-11-01,61.9
296,북부산,2023-12-01,48.6
255,북창원,2023-01-01,63.3
255,북창원,2023-02-01,55.4
255,북창원,2023-03-01,56.9
255,북창원,2023-04-01,52.8
255,북창원,2023-05-01,43.6
255,북창원,2023-06-01,45.8
255,북창원,2023-07-01,25.4
255,북창원,2023-08-01,44.3
255,북창원,2023-09-01,39.2
255,북창원,2023-10-01,59.2
255,북창원,2023-11-01,55.1
255,북창원,2023-12-01,51.7
93,북춘천,2023-01-01,59.8
93,북춘천,2023-02-01,71.6
93,북춘천,2023-03-01,73.6
93,북춘천,2023-04-01,52.7
93,북춘천,2023-05-01,63.8
93,북춘천,2023-06-01,54.9
93,북춘천,2023-07-01,42.9
93,북춘천,2023-08-01,48.0
93,북춘천,2023-09-01,49.1
93,북춘천,2023-10-01,56.3
93,북춘천,2023-11-01,59.6
93,북춘천,2023-12-01,55.3
289,산청,2023-01-01,56.0
289,산청,2023-02-01,55.6
289,산청,2023-03-01,62.4
289,산청,2023-04-01,50.5
289,산청,2023-05-01,41.6
289,산청,2023-06-01,46.8
289,산청,2023-07-01,26.6
289,산청,2023-08-01,47.1
289,산청,2023-09-01,39.0
289,산청,2023-10-01,59.5
289,산청,2023-11-01,55.2
289,산청,2023-12-01,41.1
137,상주,2023-01-01,66.2
137,상주,2023-02-01,60.9
137,상주,2023-03-01,65.3
137,상주,2023-04-01,50.8
137,상주,2023-05-01,51.0
137,상주,2023-06-01,48.8
137,상주,2023-07-01,31.0
137,상주,2023-08-01,45.4
137,상주,2023-09-01,44.0
137,상주,2023-10-01,66.1
137,상주,2023-11-01,61.8
137,상주,2023-12-01,52.2
189,서귀포,2023-01-01,52.3
189,서귀포,2023-02-01,52.3
189,서귀포,2023-03-01,54.5
189,서귀포,2023-04-01,51.4
189,서귀포,2023-05-01,39.1
189,서귀포,2023-06-01,35.8
189,서귀포,2023-07-01,18.0
189,서귀포,2023-08-01,60.5
189,서귀포,2023-09-01,58.5
189,서귀포,2023-10-01,71.6
189,서귀포,2023-11-01,63.1
189,서귀포,2023-12-01,43.1
