지점,지점명,일시,평균지면온도(°C)
90,속초,2021-01,-0.3
90,속초,2021-02,4.5
90,속초,2021-03,8.4
90,속초,2021-04,14.7
90,속초,2021-05,19.8
90,속초,2021-06,23.3
90,속초,2021-07,33.3
90,속초,2021-08,27.2
90,속초,2021-09,23.9
90,속초,2021-10,16.1
90,속초,2021-11,9.2
90,속초,2021-12,2.7
93,북춘천,2021-01,-3.6
93,북춘천,2021-02,1.3
93,북춘천,2021-03,8.9
93,북춘천,2021-04,15.5
93,북춘천,2021-05,18.8
93,북춘천,2021-06,24.8
93,북춘천,2021-07,32.2
93,북춘천,2021-08,28.1
93,북춘천,2021-09,23.5
93,북춘천,2021-10,15.0
93,북춘천,2021-11,5.7
93,북춘천,2021-12,-1.1
95,철원,2021-01,-3.5
95,철원,2021-02,0.8
95,철원,2021-03,7.5
95,철원,2021-04,14.3
95,철원,2021-05,18.8
95,철원,2021-06,24.5
95,철원,2021-07,31.2
95,철원,2021-08,26.9
95,철원,2021-09,22.4
95,철원,2021-10,14.1
95,철원,2021-11,5.0
95,철원,2021-12,-1.7
98,동두천,2021-01,-3.1
98,동두천,2021-02,2.3
98,동두천,2021-03,10.2
98,동두천,2021-04,15.7
98,동두천,2021-05,19.3
98,동두천,2021-06,25.9
98,동두천,2021-07,32.2
98,동두천,2021-08,28.5
98,동두천,2021-09,23.7
98,동두천,2021-10,15.8
98,동두천,2021-11,6.6
98,동두천,2021-12,-0.5
99,파주,2021-01,-3.2
99,파주,2021-02,1.5
99,파주,2021-03,8.4
99,파주,2021-04,14.3
99,파주,2021-05,18.2
99,파주,2021-06,25.2
99,파주,2021-07,30.7
99,파주,2021-08,27.8
99,파주,2021-09,22.7
99,파주,2021-10,15.1
99,파주,2021-11,6.0
99,파주,2021-12,-0.7
100,대관령,2021-01,-4.8
100,대관령,2021-02,-1.1
100,대관령,2021-03,3.1
100,대관령,2021-04,10.6
100,대관령,2021-05,14.6
100,대관령,2021-06,20.5
100,대관령,2021-07,27.5
100,대관령,2021-08,22.2
100,대관령,2021-09,18.6
100,대관령,2021-10,11.9
100,대관령,2021-11,2.8
100,대관령,2021-12,-2.9
101,춘천,2021-01,-2.8
101,춘천,2021-02,1.1
101,춘천,2021-03,8.3
101,춘천,2021-04,15.0
101,춘천,2021-05,18.8
101,춘천,2021-06,25.5
101,춘천,2021-07,31.2
101,춘천,2021-08,27.6
