지점,지점명,일시,합계 일조시간(hr)
90,속초,2021-01,200.4
90,속초,2021-02,214.2
90,속초,2021-03,209.0
90,속초,2021-04,228.4
90,속초,2021-05,239.6
90,속초,2021-06,185.7
90,속초,2021-07,270.0
90,속초,2021-08,133.0
90,속초,2021-09,195.8
90,속초,2021-10,174.0
90,속초,2021-11,208.2
90,속초,2021-12,219.8
93,북춘천,2021-01,181.6
93,북춘천,2021-02,210.7
93,북춘천,2021-03,217.1
93,북춘천,2021-04,225.5
93,북춘천,2021-05,190.3
93,북춘천,2021-06,186.6
93,북춘천,2021-07,251.7
93,북춘천,2021-08,154.0
93,북춘천,2021-09,188.6
93,북춘천,2021-10,160.2
93,북춘천,2021-11,163.1
93,북춘천,2021-12,173.8
95,철원,2021-01,189.5
95,철원,2021-02,203.0
95,철원,2021-03,240.7
95,철원,2021-04,262.0
95,철원,2021-05,247.5
95,철원,2021-06,247.4
95,철원,2021-07,289.1
95,철원,2021-08,211.3
95,철원,2021-09,231.6
95,철원,2021-10,196.1
95,철원,2021-11,174.1
95,철원,2021-12,177.3
98,동두천,2021-01,188.8
98,동두천,2021-02,189.6
98,동두천,2021-03,238.4
98,동두천,2021-04,239.0
98,동두천,2021-05,210.8
98,동두천,2021-06,207.7
98,동두천,2021-07,237.8
98,동두천,2021-08,163.4
98,동두천,2021-09,203.5
98,동두천,2021-10,186.5
98,동두천,2021-11,166.8
98,동두천,2021-12,185.1
99,파주,2021-01,192.8
99,파주,2021-02,197.1
99,파주,2021-03,242.6
99,파주,2021-04,234.8
99,파주,2021-05,212.8
99,파주,2021-06,198.9
99,파주,2021-07,256.6
99,파주,2021-08,180.1
99,파주,2021-09,209.4
99,파주,2021-10,190.5
99,파주,2021-11,176.0
99,파주,2021-12,193.1
100,대관령,2021-01,204.9
100,대관령,2021-02,226.8
100,대관령,2021-03,231.9
100,대관령,2021-04,257.8
100,대관령,2021-05,225.5
100,대관령,2021-06,185.1
100,대관령,2021-07,263.8
100,대관령,2021-08,116.0
100,대관령,2021-09,153.9
100,대관령,2021-10,183.6
100,대관령,2021-11,193.8
100,대관령,2021-12,207.9
101,춘천,2021-01,171.3
101,춘천,2021-02,195.6
101,춘천,2021-03,207.1
