지점,지점명,일시,평균기온(°C)
90,속초,2023-01,0.2
90,속초,2023-02,2.7
90,속초,2023-03,9.3
90,속초,2023-04,12.6
90,속초,2023-05,17.0
90,속초,2023-06,21.9
90,속초,2023-07,25.8
90,속초,2023-08,24.7
90,속초,2023-09,21.7
90,속초,2023-10,16.4
90,속초,2023-11,8.8
90,속초,2023-12,2.3
93,북춘천,2023-01,-5.2
93,북춘천,2023-02,-0.5
93,북춘천,2023-03,7.4
93,북춘천,2023-04,12.1
93,북춘천,2023-05,17.7
93,북춘천,2023-06,22.4
93,북춘천,2023-07,26.0
93,북춘천,2023-08,26.1
93,북춘천,2023-09,21.8
93,북춘천,2023-10,12.3
93,북춘천,2023-11,4.6
93,북춘천,2023-12,-1.6
95,철원,2023-01,-5.8
95,철원,2023-02,-0.9
95,철원,2023-03,6.7
95,철원,2023-04,11.7
95,철원,2023-05,17.4
95,철원,2023-06,21.7
95,철원,2023-07,25.4
95,철원,2023-08,25.1
95,철원,2023-09,21.3
95,철원,2023-10,12.4
95,철원,2023-11,4.3
95,철원,2023-12,-1.9
98,동두천,2023-01,-3.7
98,동두천,2023-02,0.6
98,동두천,2023-03,8.3
98,동두천,2023-04,12.7
98,동두천,2023-05,18.0
98,동두천,2023-06,22.0
98,동두천,2023-07,25.6
98,동두천,2023-08,25.6
98,동두천,2023-09,21.8
98,동두천,2023-10,13.6
98,동두천,2023-11,5.4
98,동두천,2023-12,-0.5
99,파주,2023-01,-4.5
99,파주,2023-02,-0.4
99,파주,2023-03,6.8
99,파주,2023-04,11.8
99,파주,2023-05,17.2
99,파주,2023-06,21.5
99,파주,2023-07,25.2
99,파주,2023-08,25.2
99,파주,2023-09,21.6
99,파주,2023-10,12.9
99,파주,2023-11,4.7
99,파주,2023-12,-1.1
100,대관령,2023-01,-6.3
100,대관령,2023-02,-3.2
100,대관령,2023-03,4.4
100,대관령,2023-04,8.1
100,대관령,2023-05,13.5
100,대관령,2023-06,17.9
100,대관령,2023-07,21.9
100,대관령,2023-08,21.4
100,대관령,2023-09,17.0
100,대관령,2023-10,9.0
100,대관령,2023-11,2.7
