지점,지점명,일시,평균기온(°C)
105,강릉,2024-01-01,2.2
105,강릉,2024-02-01,3.6
105,강릉,2024-03-01,7.0
105,강릉,2024-04-01,15.8
105,강릉,2024-05-01,19.5
105,강릉,2024-06-01,24.3
105,강릉,2024-07-01,27.9
105,강릉,2024-08-01,28.7
105,강릉,2024-09-01,23.1
105,강릉,2024-10-01,16.7
105,강릉,2024-11-01,11.5
105,강릉,2024-12-01,3.8
259,강진군,2024-01-01,3.1
259,강진군,2024-02-01,6.0
259,강진군,2024-03-01,8.0
259,강진군,2024-04-01,15.5
259,강진군,2024-05-01,18.3
259,강진군,2024-06-01,22.8
259,강진군,2024-07-01,27.0
259,강진군,2024-08-01,28.8
259,강진군,2024-09-01,26.2
259,강진군,2024-10-01,17.9
259,강진군,2024-11-01,11.8
259,강진군,2024-12-01,4.2
201,강화,2024-01-01,-1.6
201,강화,2024-02-01,2.2
201,강화,2024-03-01,5.5
201,강화,2024-04-01,13.6
201,강화,2024-05-01,16.1
201,강화,2024-06-01,21.5
201,강화,2024-07-01,24.8
201,강화,2024-08-01,27.1
201,강화,2024-09-01,23.3
201,강화,2024-10-01,14.9
201,강화,2024-11-01,8.4
201,강화,2024-12-01,-0.7
294,거제,2024-01-01,4.3
294,거제,2024-02-01,6.8
294,거제,2024-03-01,9.2
294,거제,2024-04-01,15.2
294,거제,2024-05-01,18.2
294,거제,2024-06-01,22.2
294,거제,2024-07-01,25.8
294,거제,2024-08-01,28.2
294,거제,2024-09-01,25.8
294,거제,2024-10-01,18.7
294,거제,2024-11-01,12.3
294,거제,2024-12-01,5.1
284,거창,2024-01-01,0.2
284,거창,2024-02-01,3.2
284,거창,2024-03-01,6.2
284,거창,2024-04-01,14.2
284,거창,2024-05-01,17.1
284,거창,2024-06-01,21.8
284,거창,2024-07-01,25.6
284,거창,2024-08-01,26.8
284,거창,2024-09-01,23.7
284,거창,2024-10-01,14.4
284,거창,2024-11-01,8.1
284,거창,2024-12-01,1.2
283,경주시,2024-01-01,2.0
283,경주시,2024-02-01,5.0
283,경주시,2024-03-01,7.7
283,경주시,2024-04-01,14.8
283,경주시,2024-05-01,18.3
283,경주시,2024-06-01,23.8
283,경주시,2024-07-01,27.7
283,경주시,2024-08-01,28.6
283,경주시,2024-09-01,24.8
283,경주시,2024-10-01,17.1
283,경주시,2024-11-01,10.3
283,경주시,2024-12-01,3.2
185,고산,2024-01-01,7.9
185,고산,2024-02-01,9.5
185,고산,2024-03-01,10.4
185,고산,2024-04-01,15.5
185,고산,2024-05-01,17.7
185,고산,2024-06-01,21.3
185,고산,2024-07-01,26.2
185,고산,2024-08-01,28.6
185,고산,2024-09-01,26.8
185,고산,2024-10-01,20.3
185,고산,2024-11-01,14.9
185,고산,2024-12-01,8.7
172,고창,2024-01-01,1.7
172,고창,2024-02-01,4.9
172,고창,2024-03-01,6.5
172,고창,2024-04-01,14.3
172,고창,2024-05-01,18.6
172,고창,2024-06-01,22.8
172,고창,2024-07-01,27.1
172,고창,2024-08-01,28.3
172,고창,2024-09-01,25.8
172,고창,2024-10-01,16.5
172,고창,2024-11-01,10.0
172,고창,2024-12-01,2.5
251,고창군,2024-01-01,1.7
251,고창군,2024-02-01,5.1
251,고창군,2024-03-01,6.9
251,고창군,2024-04-01,14.8
251,고창군,2024-05-01,17.7
251,고창군,2024-06-01,22.5
251,고창군,2024-07-01,27.0
251,고창군,2024-08-01,28.2
251,고창군,2024-09-01,25.9
251,고창군,2024-10-01,16.7
251,고창군,2024-11-01,10.2
251,고창군,2024-12-01,2.7
262,고흥,2024-01-01,4.1
262,고흥,2024-02-01,7.0
262,고흥,2024-03-01,8.8
262,고흥,2024-04-01,15.1
262,고흥,2024-05-01,18.0
262,고흥,2024-06-01,22.3
262,고흥,2024-07-01,26.7
262,고흥,2024-08-01,28.9
262,고흥,2024-09-01,26.3
262,고흥,2024-10-01,18.1
262,고흥,2024-11-01,11.6
262,고흥,2024-12-01,3.8
266,광양시,2024-01-01,3.7
266,광양시,2024-02-01,6.4
266,광양시,2024-03-01,8.9
266,광양시,2024-04-01,16.0
266,광양시,2024-05-01,18.9
266,광양시,2024-06-01,23.2
266,광양시,2024-07-01,26.7
