지점,지점명,일시,평균풍속(m/s)
105,강릉,2020-01-01,2.7
105,강릉,2020-02-01,2.8
105,강릉,2020-03-01,2.6
105,강릉,2020-04-01,2.8
105,강릉,2020-05-01,2.3
105,강릉,2020-06-01,2.2
105,강릉,2020-07-01,1.6
105,강릉,2020-08-01,1.8
105,강릉,2020-09-01,2.2
105,강릉,2020-10-01,2.2
105,강릉,2020-11-01,2.7
105,강릉,2020-12-01,3.0
259,강진군,2020-01-01,2.3
259,강진군,2020-02-01,2.3
259,강진군,2020-03-01,2.7
259,강진군,2020-04-01,2.7
259,강진군,2020-05-01,2.4
259,강진군,2020-06-01,2.2
259,강진군,2020-07-01,1.9
259,강진군,2020-08-01,2.3
259,강진군,2020-09-01,1.6
259,강진군,2020-10-01,1.8
259,강진군,2020-11-01,2.4
259,강진군,2020-12-01,2.2
201,강화,2020-01-01,1.8
201,강화,2020-02-01,1.8
201,강화,2020-03-01,2.5
201,강화,2020-04-01,3.0
201,강화,2020-05-01,1.9
201,강화,2020-06-01,2.0
201,강화,2020-07-01,1.9
201,강화,2020-08-01,2.2
201,강화,2020-09-01,2.1
201,강화,2020-10-01,1.6
201,강화,2020-11-01,1.6
201,강화,2020-12-01,1.5
294,거제,2020-01-01,1.3
294,거제,2020-02-01,1.4
294,거제,2020-03-01,1.9
294,거제,2020-04-01,2.0
294,거제,2020-05-01,1.9
294,거제,2020-06-01,1.7
294,거제,2020-07-01,1.6
294,거제,2020-08-01,1.9
294,거제,2020-09-01,1.5
294,거제,2020-10-01,1.2
294,거제,2020-11-01,1.3
294,거제,2020-12-01,1.4
284,거창,2020-01-01,1.3
284,거창,2020-02-01,1.4
284,거창,2020-03-01,1.8
284,거창,2020-04-01,2.1
284,거창,2020-05-01,1.6
284,거창,2020-06-01,1.2
284,거창,2020-07-01,0.9
284,거창,2020-08-01,1.1
284,거창,2020-09-01,1.1
284,거창,2020-10-01,1.1
284,거창,2020-11-01,1.4
284,거창,2020-12-01,1.6
283,경주시,2020-01-01,2.7
283,경주시,2020-02-01,2.7
283,경주시,2020-03-01,2.8
283,경주시,2020-04-01,3.1
283,경주시,2020-05-01,2.5
283,경주시,2020-06-01,2.2
283,경주시,2020-07-01,1.8
283,경주시,2020-08-01,2.4
283,경주시,2020-09-01,2.5
283,경주시,2020-10-01,2.3
283,경주시,2020-11-01,2.9
283,경주시,2020-12-01,3.4
185,고산,2020-01-01,8.1
185,고산,2020-02-01,7.8
185,고산,2020-03-01,7.5
185,고산,2020-04-01,7.5
185,고산,2020-05-01,5.3
185,고산,2020-06-01,4.7
185,고산,2020-07-01,5.2
185,고산,2020-08-01,5.9
185,고산,2020-09-01,5.0
185,고산,2020-10-01,6.3
185,고산,2020-11-01,7.1
185,고산,2020-12-01,8.0
172,고창,2020-01-01,2.6
172,고창,2020-02-01,3.0
172,고창,2020-03-01,3.2
172,고창,2020-04-01,3.3
172,고창,2020-05-01,3.0
172,고창,2020-06-01,2.5
172,고창,2020-07-01,2.3
172,고창,2020-08-01,2.9
172,고창,2020-09-01,2.4
172,고창,2020-10-01,2.3
172,고창,2020-11-01,3.0
172,고창,2020-12-01,2.8
251,고창군,2020-01-01,1.5
251,고창군,2020-02-01,1.6
251,고창군,2020-03-01,1.9
251,고창군,2020-04-01,1.8
251,고창군,2020-05-01,1.7
251,고창군,2020-06-01,1.4
251,고창군,2020-07-01,1.2
251,고창군,2020-08-01,1.9
251,고창군,2020-09-01,1.5
251,고창군,2020-10-01,1.3
251,고창군,2020-11-01,1.6
251,고창군,2020-12-01,1.5
262,고흥,2020-01-01,1.6
