지점,지점명,일시,합계 일사량(MJ/m2)
105,강릉,2020-01-01,238.2
105,강릉,2020-02-01,345.0
105,강릉,2020-03-01,520.1
105,강릉,2020-04-01,570.4
105,강릉,2020-05-01,618.6
105,강릉,2020-06-01,620.7
105,강릉,2020-07-01,453.5
105,강릉,2020-08-01,388.7
105,강릉,2020-09-01,390.8
105,강릉,2020-10-01,407.2
105,강릉,2020-11-01,306.1
105,강릉,2020-12-01,292.5
259,강진군,2020-01-01,268.2
259,강진군,2020-02-01,298.4
259,강진군,2020-03-01,481.0
259,강진군,2020-04-01,590.1
259,강진군,2020-05-01,523.7
259,강진군,2020-06-01,553.8
259,강진군,2020-07-01,338.0
259,강진군,2020-08-01,527.5
259,강진군,2020-09-01,421.8
259,강진군,2020-10-01,443.4
259,강진군,2020-11-01,269.2
259,강진군,2020-12-01,250.3
201,강화,2020-01-01,
201,강화,2020-02-01,
201,강화,2020-03-01,
201,강화,2020-04-01,
201,강화,2020-05-01,
201,강화,2020-06-01,
201,강화,2020-07-01,
201,강화,2020-08-01,
201,강화,2020-09-01,
201,강화,2020-10-01,
201,강화,2020-11-01,
201,강화,2020-12-01,
294,거제,2020-01-01,
294,거제,2020-02-01,
294,거제,2020-03-01,
294,거제,2020-04-01,
294,거제,2020-05-01,
294,거제,2020-06-01,
294,거제,2020-07-01,
294,거제,2020-08-01,
294,거제,2020-09-01,
294,거제,2020-10-01,
294,거제,2020-11-01,
294,거제,2020-12-01,
284,거창,2020-01-01,
284,거창,2020-02-01,
284,거창,2020-03-01,
284,거창,2020-04-01,
284,거창,2020-05-01,
284,거창,2020-06-01,
284,거창,2020-07-01,
284,거창,2020-08-01,
284,거창,2020-09-01,
284,거창,2020-10-01,
284,거창,2020-11-01,
284,거창,2020-12-01,
283,경주시,2020-01-01,211.1
283,경주시,2020-02-01,319.7
283,경주시,2020-03-01,443.2
283,경주시,2020-04-01,551.4
283,경주시,2020-05-01,555.8
283,경주시,2020-06-01,550.2
283,경주시,2020-07-01,323.0
283,경주시,2020-08-01,469.0
283,경주시,2020-09-01,331.3
283,경주시,2020-10-01,366.9
283,경주시,2020-11-01,276.4
283,경주시,2020-12-01,312.9
185,고산,2020-01-01,176.9
185,고산,2020-02-01,297.9
185,고산,2020-03-01,446.8
185,고산,2020-04-01,597.7
185,고산,2020-05-01,527.1
185,고산,2020-06-01,439.8
185,고산,2020-07-01,410.8
185,고산,2020-08-01,549.6
185,고산,2020-09-01,385.3
185,고산,2020-10-01,412.3
185,고산,2020-11-01,272.0
185,고산,2020-12-01,209.2
172,고창,2020-01-01,177.4
172,고창,2020-02-01,257.8
172,고창,2020-03-01,404.4
172,고창,2020-04-01,503.3
172,고창,2020-05-01,437.6
172,고창,2020-06-01,423.3
172,고창,2020-07-01,299.5
172,고창,2020-08-01,386.9
172,고창,2020-09-01,322.1
172,고창,2020-10-01,335.7
172,고창,2020-11-01,192.6
172,고창,2020-12-01,267.1
251,고창군,2020-01-01,234.3
251,고창군,2020-02-01,341.6
251,고창군,2020-03-01,532.9
251,고창군,2020-04-01,661.6
251,고창군,2020-05-01,593.3
251,고창군,2020-06-01,557.0
251,고창군,2020-07-01,375.9
251,고창군,2020-08-01,512.9
251,고창군,2020-09-01,431.0
251,고창군,2020-10-01,440.0
251,고창군,2020-11-01,281.4
251,고창군,2020-12-01,259.6
262,고흥,2020-01-01,
262,고흥,2020-02-01,
262,고흥,2020-03-01,
262,고흥,2020-04-01,
262,고흥,2020-05-01,
262,고흥,2020-06-01,
262,고흥,2020-07-01,
262,고흥,2020-08-01,
262,고흥,2020-09-01,
262,고흥,2020-10-01,
262,고흥,2020-11-01,
262,고흥,2020-12-01,
266,광양시,2020-01-01,267.5
266,광양시,2020-02-01,375.1
266,광양시,2020-03-01,547.5
266,광양시,2020-04-01,656.6
266,광양시,2020-05-01,588.0
266,광양시,2020-06-01,598.4
266,광양시,2020-07-01,368.9
266,광양시,2020-08-01,497.9
266,광양시,2020-09-01,437.6
266,광양시,2020-10-01,466.9
266,광양시,2020-11-01,321.3
266,광양시,2020-12-01,303.3
156,광주,2020-01-01,264.4
156,광주,2020-02-01,346.8
156,광주,2020-03-01,568.5
156,광주,2020-04-01,686.9
156,광주,2020-05-01,619.4
156,광주,2020-06-01,592.2
156,광주,2020-07-01,394.4
156,광주,2020-08-01,501.7
156,광주,2020-09-01,441.0
156,광주,2020-10-01,478.0
156,광주,2020-11-01,320.9
156,광주,2020-12-01,300.0
279,구미,2020-01-01,
279,구미,2020-02-01,
279,구미,2020-03-01,
279,구미,2020-04-01,
279,구미,2020-05-01,
279,구미,2020-06-01,
279,구미,2020-07-01,
279,구미,2020-08-01,
279,구미,2020-09-01,
279,구미,2020-10-01,
279,구미,2020-11-01,
279,구미,2020-12-01,
140,군산,2020-01-01,
140,군산,2020-02-01,
140,군산,2020-03-01,
140,군산,2020-04-01,
140,군산,2020-05-01,
140,군산,2020-06-01,
140,군산,2020-07-01,
140,군산,2020-08-01,
140,군산,2020-09-01,
140,군산,2020-10-01,
140,군산,2020-11-01,
140,군산,2020-12-01,
238,금산,2020-01-01,
238,금산,2020-02-01,
238,금산,2020-03-01,
238,금산,2020-04-01,
238,금산,2020-05-01,
238,금산,2020-06-01,
238,금산,2020-07-01,
238,금산,2020-08-01,
238,금산,2020-09-01,
238,금산,2020-10-01,
238,금산,2020-11-01,
238,금산,2020-12-01,
253,김해시,2020-01-01,221.0
253,김해시,2020-02-01,345.9
253,김해시,2020-03-01,527.2
253,김해시,2020-04-01,633.7
253,김해시,2020-05-01,616.9
253,김해시,2020-06-01,632.7
253,김해시,2020-07-01,370.8
253,김해시,2020-08-01,526.6
253,김해시,2020-09-01,409.3
253,김해시,2020-10-01,434.8
253,김해시,2020-11-01,317.8
253,김해시,2020-12-01,312.5
247,남원,2020-01-01,
247,남원,2020-02-01,
247,남원,2020-03-01,
247,남원,2020-04-01,
247,남원,2020-05-01,
247,남원,2020-06-01,
247,남원,2020-07-01,
247,남원,2020-08-01,
247,남원,2020-09-01,
247,남원,2020-10-01,
247,남원,2020-11-01,
247,남원,2020-12-01,
295,남해,2020-01-01,
295,남해,2020-02-01,
295,남해,2020-03-01,
295,남해,2020-04-01,
295,남해,2020-05-01,
295,남해,2020-06-01,
295,남해,2020-07-01,
295,남해,2020-08-01,
295,남해,2020-09-01,
295,남해,2020-10-01,
295,남해,2020-11-01,
295,남해,2020-12-01,
100,대관령,2020-01-01,279.0
100,대관령,2020-02-01,384.2
100,대관령,2020-03-01,559.7
100,대관령,2020-04-01,613.8
100,대관령,2020-05-01,638.6
100,대관령,2020-06-01,651.1
100,대관령,2020-07-01,509.9
100,대관령,2020-08-01,407.6
100,대관령,2020-09-01,383.3
100,대관령,2020-10-01,427.7
100,대관령,2020-11-01,326.0
100,대관령,2020-12-01,307.9
143,대구,2020-01-01,266.6
143,대구,2020-02-01,375.3
143,대구,2020-03-01,540.6
143,대구,2020-04-01,647.9
143,대구,2020-05-01,661.4
143,대구,2020-06-01,632.6
143,대구,2020-07-01,421.0
143,대구,2020-08-01,534.4
143,대구,2020-09-01,409.0
143,대구,2020-10-01,442.4
143,대구,2020-11-01,320.7
143,대구,2020-12-01,304.6
133,대전,2020-01-01,266.0
133,대전,2020-02-01,361.0
133,대전,2020-03-01,570.8
133,대전,2020-04-01,711.4
133,대전,2020-05-01,677.7
133,대전,2020-06-01,609.4
133,대전,2020-07-01,428.5
133,대전,2020-08-01,498.2
133,대전,2020-09-01,481.3
133,대전,2020-10-01,404.0
133,대전,2020-11-01,259.7
133,대전,2020-12-01,255.3
98,동두천,2020-01-01,
98,동두천,2020-02-01,
98,동두천,2020-03-01,
98,동두천,2020-04-01,
98,동두천,2020-05-01,
98,동두천,2020-06-01,
98,동두천,2020-07-01,
98,동두천,2020-08-01,
98,동두천,2020-09-01,
98,동두천,2020-10-01,
98,동두천,2020-11-01,
98,동두천,2020-12-01,
106,동해,2020-01-01,
106,동해,2020-02-01,
106,동해,2020-03-01,
106,동해,2020-04-01,
106,동해,2020-05-01,
106,동해,2020-06-01,
106,동해,2020-07-01,
106,동해,2020-08-01,
106,동해,2020-09-01,
106,동해,2020-10-01,
106,동해,2020-11-01,
106,동해,2020-12-01,
165,목포,2020-01-01,234.9
165,목포,2020-02-01,329.4
165,목포,2020-03-01,526.4
165,목포,2020-04-01,664.2
165,목포,2020-05-01,578.6
165,목포,2020-06-01,578.4
165,목포,2020-07-01,398.9
165,목포,2020-08-01,522.9
165,목포,2020-09-01,436.0
165,목포,2020-10-01,448.4
165,목포,2020-11-01,285.5
165,목포,2020-12-01,263.2
273,문경,2020-01-01,
273,문경,2020-02-01,
273,문경,2020-03-01,
273,문경,2020-04-01,
273,문경,2020-05-01,
273,문경,2020-06-01,
273,문경,2020-07-01,
273,문경,2020-08-01,
273,문경,2020-09-01,
273,문경,2020-10-01,
273,문경,2020-11-01,
273,문경,2020-12-01,
288,밀양,2020-01-01,
288,밀양,2020-02-01,
288,밀양,2020-03-01,
288,밀양,2020-04-01,
288,밀양,2020-05-01,
288,밀양,2020-06-01,
288,밀양,2020-07-01,
288,밀양,2020-08-01,
288,밀양,2020-09-01,
288,밀양,2020-10-01,
288,밀양,2020-11-01,
288,밀양,2020-12-01,
102,백령도,2020-01-01,272.5
102,백령도,2020-02-01,304.9
102,백령도,2020-03-01,581.5
102,백령도,2020-04-01,710.4
102,백령도,2020-05-01,541.1
102,백령도,2020-06-01,603.1
102,백령도,2020-07-01,611.7
102,백령도,2020-08-01,360.3
102,백령도,2020-09-01,501.2
102,백령도,2020-10-01,438.4
102,백령도,2020-11-01,262.9
102,백령도,2020-12-01,209.4
