지점,지점명,일시,월합강수량(00~24h만)(mm)
105,강릉,2020-01-01,107.5
105,강릉,2020-02-01,77.5
105,강릉,2020-03-01,47.1
105,강릉,2020-04-01,65.6
105,강릉,2020-05-01,95.5
105,강릉,2020-06-01,270.4
105,강릉,2020-07-01,375.9
105,강릉,2020-08-01,150.4
105,강릉,2020-09-01,613.8
105,강릉,2020-10-01,0.6
105,강릉,2020-11-01,7.7
105,강릉,2020-12-01,0.9
259,강진군,2020-01-01,95.0
259,강진군,2020-02-01,40.9
259,강진군,2020-03-01,37.9
259,강진군,2020-04-01,63.6
259,강진군,2020-05-01,161.5
259,강진군,2020-06-01,332.1
259,강진군,2020-07-01,398.5
259,강진군,2020-08-01,253.1
259,강진군,2020-09-01,221.0
259,강진군,2020-10-01,24.7
259,강진군,2020-11-01,12.1
259,강진군,2020-12-01,14.0
201,강화,2020-01-01,63.4
201,강화,2020-02-01,43.1
201,강화,2020-03-01,6.7
201,강화,2020-04-01,10.5
201,강화,2020-05-01,124.2
201,강화,2020-06-01,152.4
201,강화,2020-07-01,285.9
201,강화,2020-08-01,479.4
201,강화,2020-09-01,215.6
201,강화,2020-10-01,3.4
201,강화,2020-11-01,45.1
201,강화,2020-12-01,7.2
294,거제,2020-01-01,147.6
294,거제,2020-02-01,77.8
294,거제,2020-03-01,72.1
294,거제,2020-04-01,92.1
294,거제,2020-05-01,115.9
294,거제,2020-06-01,383.1
294,거제,2020-07-01,673.4
294,거제,2020-08-01,427.8
294,거제,2020-09-01,400.9
294,거제,2020-10-01,31.9
294,거제,2020-11-01,48.5
294,거제,2020-12-01,10.7
284,거창,2020-01-01,85.5
284,거창,2020-02-01,47.8
284,거창,2020-03-01,28.3
284,거창,2020-04-01,48.3
284,거창,2020-05-01,75.7
284,거창,2020-06-01,181.4
284,거창,2020-07-01,591.6
284,거창,2020-08-01,467.0
284,거창,2020-09-01,160.7
284,거창,2020-10-01,11.9
284,거창,2020-11-01,24.9
284,거창,2020-12-01,3.6
283,경주시,2020-01-01,161.6
283,경주시,2020-02-01,43.1
283,경주시,2020-03-01,24.5
283,경주시,2020-04-01,53.4
283,경주시,2020-05-01,39.9
283,경주시,2020-06-01,186.0
283,경주시,2020-07-01,381.5
283,경주시,2020-08-01,137.8
283,경주시,2020-09-01,314.5
283,경주시,2020-10-01,7.9
283,경주시,2020-11-01,19.6
283,경주시,2020-12-01,1.8
185,고산,2020-01-01,76.1
185,고산,2020-02-01,41.6
185,고산,2020-03-01,61.2
185,고산,2020-04-01,32.5
185,고산,2020-05-01,90.3
185,고산,2020-06-01,290.5
185,고산,2020-07-01,247.8
185,고산,2020-08-01,181.2
185,고산,2020-09-01,132.8
185,고산,2020-10-01,34.7
185,고산,2020-11-01,19.4
185,고산,2020-12-01,20.8
172,고창,2020-01-01,58.0
172,고창,2020-02-01,41.6
172,고창,2020-03-01,42.9
172,고창,2020-04-01,33.9
172,고창,2020-05-01,100.3
172,고창,2020-06-01,136.4
172,고창,2020-07-01,454.2
172,고창,2020-08-01,362.3
172,고창,2020-09-01,227.9
172,고창,2020-10-01,10.2
172,고창,2020-11-01,58.3
172,고창,2020-12-01,28.7
251,고창군,2020-01-01,59.0
251,고창군,2020-02-01,48.0
251,고창군,2020-03-01,45.0
251,고창군,2020-04-01,31.8
251,고창군,2020-05-01,90.4
251,고창군,2020-06-01,157.1
251,고창군,2020-07-01,455.5
251,고창군,2020-08-01,464.9
251,고창군,2020-09-01,237.4
251,고창군,2020-10-01,8.1
251,고창군,2020-11-01,63.4
251,고창군,2020-12-01,11.1
262,고흥,2020-01-01,79.0
262,고흥,2020-02-01,44.5
262,고흥,2020-03-01,45.1
262,고흥,2020-04-01,80.2
262,고흥,2020-05-01,151.1
262,고흥,2020-06-01,304.9
262,고흥,2020-07-01,334.2
262,고흥,2020-08-01,181.8
262,고흥,2020-09-01,256.0
262,고흥,2020-10-01,24.9
262,고흥,2020-11-01,9.1
262,고흥,2020-12-01,9.4
266,광양시,2020-01-01,78.2
266,광양시,2020-02-01,41.4
266,광양시,2020-03-01,41.2
266,광양시,2020-04-01,54.0
266,광양시,2020-05-01,176.9
266,광양시,2020-06-01,353.0
266,광양시,2020-07-01,483.1
266,광양시,2020-08-01,336.5
266,광양시,2020-09-01,199.8
266,광양시,2020-10-01,33.9
266,광양시,2020-11-01,11.0
266,광양시,2020-12-01,12.0
156,광주,2020-01-01,74.9
156,광주,2020-02-01,47.8
156,광주,2020-03-01,43.5
156,광주,2020-04-01,55.3
156,광주,2020-05-01,96.8
156,광주,2020-06-01,199.9
156,광주,2020-07-01,533.3
156,광주,2020-08-01,738.1
156,광주,2020-09-01,178.3
156,광주,2020-10-01,12.1
156,광주,2020-11-01,28.3
156,광주,2020-12-01,18.7
279,구미,2020-01-01,61.0
279,구미,2020-02-01,56.5
279,구미,2020-03-01,19.9
279,구미,2020-04-01,36.4
279,구미,2020-05-01,67.4
279,구미,2020-06-01,198.1
279,구미,2020-07-01,434.0
279,구미,2020-08-01,401.0
