지점,지점명,일시,합계 일조시간(hr)
105,강릉,2021-01-01,200.2
105,강릉,2021-02-01,203.4
105,강릉,2021-03-01,201.0
105,강릉,2021-04-01,217.6
105,강릉,2021-05-01,205.4
105,강릉,2021-06-01,159.1
105,강릉,2021-07-01,214.7
105,강릉,2021-08-01,72.9
105,강릉,2021-09-01,134.2
105,강릉,2021-10-01,159.1
105,강릉,2021-11-01,197.5
105,강릉,2021-12-01,207.2
259,강진군,2021-01-01,167.5
259,강진군,2021-02-01,155.6
259,강진군,2021-03-01,203.9
259,강진군,2021-04-01,224.5
259,강진군,2021-05-01,201.4
259,강진군,2021-06-01,203.6
259,강진군,2021-07-01,172.0
259,강진군,2021-08-01,152.9
259,강진군,2021-09-01,103.8
259,강진군,2021-10-01,204.8
259,강진군,2021-11-01,166.3
259,강진군,2021-12-01,146.8
201,강화,2021-01-01,169.9
201,강화,2021-02-01,186.3
201,강화,2021-03-01,212.0
201,강화,2021-04-01,210.0
201,강화,2021-05-01,199.1
201,강화,2021-06-01,178.2
201,강화,2021-07-01,219.4
201,강화,2021-08-01,151.6
201,강화,2021-09-01,187.8
201,강화,2021-10-01,184.2
201,강화,2021-11-01,157.3
201,강화,2021-12-01,177.3
294,거제,2021-01-01,171.3
294,거제,2021-02-01,174.2
294,거제,2021-03-01,209.5
294,거제,2021-04-01,238.7
294,거제,2021-05-01,207.7
294,거제,2021-06-01,204.3
294,거제,2021-07-01,166.7
294,거제,2021-08-01,147.6
294,거제,2021-09-01,86.3
294,거제,2021-10-01,197.0
294,거제,2021-11-01,187.3
294,거제,2021-12-01,181.3
284,거창,2021-01-01,188.7
284,거창,2021-02-01,212.0
284,거창,2021-03-01,213.3
284,거창,2021-04-01,243.5
284,거창,2021-05-01,211.6
284,거창,2021-06-01,177.7
284,거창,2021-07-01,217.7
284,거창,2021-08-01,143.2
284,거창,2021-09-01,123.4
284,거창,2021-10-01,204.9
284,거창,2021-11-01,189.3
284,거창,2021-12-01,201.2
283,경주시,2021-01-01,193.1
283,경주시,2021-02-01,200.1
283,경주시,2021-03-01,186.6
283,경주시,2021-04-01,223.5
283,경주시,2021-05-01,196.8
283,경주시,2021-06-01,160.3
283,경주시,2021-07-01,185.8
283,경주시,2021-08-01,123.0
283,경주시,2021-09-01,98.5
283,경주시,2021-10-01,171.5
283,경주시,2021-11-01,198.1
283,경주시,2021-12-01,209.4
185,고산,2021-01-01,135.4
185,고산,2021-02-01,167.3
185,고산,2021-03-01,204.6
185,고산,2021-04-01,232.8
185,고산,2021-05-01,240.5
185,고산,2021-06-01,229.9
185,고산,2021-07-01,175.2
185,고산,2021-08-01,200.1
185,고산,2021-09-01,171.5
185,고산,2021-10-01,235.6
185,고산,2021-11-01,190.8
185,고산,2021-12-01,151.6
172,고창,2021-01-01,141.9
172,고창,2021-02-01,155.7
172,고창,2021-03-01,206.6
172,고창,2021-04-01,225.5
172,고창,2021-05-01,206.0
172,고창,2021-06-01,207.4
172,고창,2021-07-01,202.5
172,고창,2021-08-01,156.0
172,고창,2021-09-01,140.5
172,고창,2021-10-01,212.2
172,고창,2021-11-01,158.2
172,고창,2021-12-01,135.5
251,고창군,2021-01-01,145.9
251,고창군,2021-02-01,170.8
251,고창군,2021-03-01,220.3
251,고창군,2021-04-01,227.0
251,고창군,2021-05-01,209.1
251,고창군,2021-06-01,194.1
251,고창군,2021-07-01,193.2
251,고창군,2021-08-01,154.2
251,고창군,2021-09-01,139.1
251,고창군,2021-10-01,204.4
251,고창군,2021-11-01,159.3
251,고창군,2021-12-01,142.8
262,고흥,2021-01-01,184.0
262,고흥,2021-02-01,178.3
262,고흥,2021-03-01,221.5
262,고흥,2021-04-01,232.9
262,고흥,2021-05-01,216.6
262,고흥,2021-06-01,205.8
262,고흥,2021-07-01,192.7
262,고흥,2021-08-01,181.4
262,고흥,2021-09-01,114.2
262,고흥,2021-10-01,213.4
262,고흥,2021-11-01,183.2
262,고흥,2021-12-01,190.2
266,광양시,2021-01-01,183.7
266,광양시,2021-02-01,188.3
266,광양시,2021-03-01,227.3
266,광양시,2021-04-01,239.3
266,광양시,2021-05-01,196.2
266,광양시,2021-06-01,208.8
266,광양시,2021-07-01,210.8
266,광양시,2021-08-01,176.7
266,광양시,2021-09-01,116.4
266,광양시,2021-10-01,213.9
266,광양시,2021-11-01,181.7
266,광양시,2021-12-01,197.1
156,광주,2021-01-01,164.3
156,광주,2021-02-01,175.3
156,광주,2021-03-01,220.5
156,광주,2021-04-01,230.4
156,광주,2021-05-01,212.8
156,광주,2021-06-01,200.6
156,광주,2021-07-01,182.3
156,광주,2021-08-01,141.7
156,광주,2021-09-01,124.8
156,광주,2021-10-01,211.5
156,광주,2021-11-01,176.5
156,광주,2021-12-01,174.2
279,구미,2021-01-01,169.8
279,구미,2021-02-01,189.1
279,구미,2021-03-01,192.0
279,구미,2021-04-01,228.5
279,구미,2021-05-01,201.5
279,구미,2021-06-01,202.6
279,구미,2021-07-01,204.5
279,구미,2021-08-01,132.3
279,구미,2021-09-01,129.1
279,구미,2021-10-01,183.1
279,구미,2021-11-01,173.1
279,구미,2021-12-01,169.6
140,군산,2021-01-01,175.2
140,군산,2021-02-01,192.6
140,군산,2021-03-01,207.6
140,군산,2021-04-01,219.9
140,군산,2021-05-01,201.8
140,군산,2021-06-01,229.7
140,군산,2021-07-01,218.1
140,군산,2021-08-01,185.0
140,군산,2021-09-01,179.4
140,군산,2021-10-01,223.1
140,군산,2021-11-01,179.6
140,군산,2021-12-01,178.1
238,금산,2021-01-01,175.8
238,금산,2021-02-01,195.4
238,금산,2021-03-01,187.2
238,금산,2021-04-01,224.6
238,금산,2021-05-01,187.9
238,금산,2021-06-01,187.0
238,금산,2021-07-01,208.9
238,금산,2021-08-01,115.3
238,금산,2021-09-01,144.5
238,금산,2021-10-01,181.3
238,금산,2021-11-01,158.7
238,금산,2021-12-01,152.7
253,김해시,2021-01-01,206.4
253,김해시,2021-02-01,197.7
253,김해시,2021-03-01,218.1
253,김해시,2021-04-01,239.5
253,김해시,2021-05-01,203.4
253,김해시,2021-06-01,188.5
253,김해시,2021-07-01,187.3
253,김해시,2021-08-01,148.1
253,김해시,2021-09-01,98.4
253,김해시,2021-10-01,162.9
253,김해시,2021-11-01,163.1
253,김해시,2021-12-01,229.6
247,남원,2021-01-01,173.0
247,남원,2021-02-01,181.6
247,남원,2021-03-01,204.9
247,남원,2021-04-01,226.8
247,남원,2021-05-01,195.6
247,남원,2021-06-01,203.4
247,남원,2021-07-01,186.0
247,남원,2021-08-01,152.0
247,남원,2021-09-01,137.3
247,남원,2021-10-01,223.6
247,남원,2021-11-01,169.9
247,남원,2021-12-01,159.9
295,남해,2021-01-01,179.4
295,남해,2021-02-01,179.1
295,남해,2021-03-01,207.4
295,남해,2021-04-01,242.8
295,남해,2021-05-01,217.0
295,남해,2021-06-01,209.9
295,남해,2021-07-01,198.4
295,남해,2021-08-01,174.5
295,남해,2021-09-01,95.2
295,남해,2021-10-01,203.2
295,남해,2021-11-01,178.9
295,남해,2021-12-01,184.0
100,대관령,2021-01-01,204.9
100,대관령,2021-02-01,226.8
100,대관령,2021-03-01,231.9
100,대관령,2021-04-01,257.8
100,대관령,2021-05-01,225.5
100,대관령,2021-06-01,185.1
100,대관령,2021-07-01,263.8
100,대관령,2021-08-01,116.0
100,대관령,2021-09-01,153.9
100,대관령,2021-10-01,183.6
100,대관령,2021-11-01,193.8
100,대관령,2021-12-01,207.9
143,대구,2021-01-01,203.1
143,대구,2021-02-01,207.8
143,대구,2021-03-01,204.0
