지점,지점명,일시,월합강수량(00~24h만)(mm)
105,강릉,2021-01-01,11.4
105,강릉,2021-02-01,5.1
105,강릉,2021-03-01,122.0
105,강릉,2021-04-01,108.1
105,강릉,2021-05-01,157.5
105,강릉,2021-06-01,32.5
105,강릉,2021-07-01,142.2
105,강릉,2021-08-01,438.1
105,강릉,2021-09-01,111.6
105,강릉,2021-10-01,130.9
105,강릉,2021-11-01,13.1
105,강릉,2021-12-01,43.9
259,강진군,2021-01-01,38.4
259,강진군,2021-02-01,33.7
259,강진군,2021-03-01,153.3
259,강진군,2021-04-01,50.5
259,강진군,2021-05-01,130.8
259,강진군,2021-06-01,134.3
259,강진군,2021-07-01,498.1
259,강진군,2021-08-01,269.9
259,강진군,2021-09-01,105.6
259,강진군,2021-10-01,21.4
259,강진군,2021-11-01,54.5
259,강진군,2021-12-01,4.3
201,강화,2021-01-01,14.1
201,강화,2021-02-01,11.8
201,강화,2021-03-01,102.4
201,강화,2021-04-01,107.7
201,강화,2021-05-01,240.9
201,강화,2021-06-01,61.3
201,강화,2021-07-01,83.9
201,강화,2021-08-01,152.6
201,강화,2021-09-01,135.8
201,강화,2021-10-01,49.5
201,강화,2021-11-01,46.6
201,강화,2021-12-01,7.0
294,거제,2021-01-01,22.8
294,거제,2021-02-01,81.4
294,거제,2021-03-01,181.7
294,거제,2021-04-01,138.2
294,거제,2021-05-01,197.3
294,거제,2021-06-01,266.1
294,거제,2021-07-01,494.8
294,거제,2021-08-01,503.3
294,거제,2021-09-01,220.0
294,거제,2021-10-01,11.8
294,거제,2021-11-01,105.5
294,거제,2021-12-01,5.0
284,거창,2021-01-01,12.5
284,거창,2021-02-01,26.3
284,거창,2021-03-01,82.5
284,거창,2021-04-01,49.2
284,거창,2021-05-01,102.5
284,거창,2021-06-01,82.1
284,거창,2021-07-01,211.3
284,거창,2021-08-01,328.4
284,거창,2021-09-01,91.9
284,거창,2021-10-01,54.6
284,거창,2021-11-01,38.9
284,거창,2021-12-01,0.0
283,경주시,2021-01-01,19.3
283,경주시,2021-02-01,20.2
283,경주시,2021-03-01,89.9
283,경주시,2021-04-01,45.2
283,경주시,2021-05-01,93.6
283,경주시,2021-06-01,30.1
283,경주시,2021-07-01,175.2
283,경주시,2021-08-01,359.0
283,경주시,2021-09-01,143.5
283,경주시,2021-10-01,93.4
283,경주시,2021-11-01,40.4
283,경주시,2021-12-01,2.3
185,고산,2021-01-01,72.0
185,고산,2021-02-01,41.9
185,고산,2021-03-01,111.8
185,고산,2021-04-01,101.2
185,고산,2021-05-01,132.2
185,고산,2021-06-01,174.5
185,고산,2021-07-01,122.7
185,고산,2021-08-01,196.7
185,고산,2021-09-01,348.0
185,고산,2021-10-01,19.8
185,고산,2021-11-01,48.8
185,고산,2021-12-01,18.3
172,고창,2021-01-01,46.2
172,고창,2021-02-01,33.0
172,고창,2021-03-01,86.0
172,고창,2021-04-01,29.3
172,고창,2021-05-01,93.5
172,고창,2021-06-01,143.2
172,고창,2021-07-01,185.5
172,고창,2021-08-01,345.7
172,고창,2021-09-01,139.9
172,고창,2021-10-01,43.9
172,고창,2021-11-01,86.4
172,고창,2021-12-01,23.2
251,고창군,2021-01-01,12.3
251,고창군,2021-02-01,12.6
251,고창군,2021-03-01,71.8
251,고창군,2021-04-01,29.0
251,고창군,2021-05-01,101.3
251,고창군,2021-06-01,131.4
251,고창군,2021-07-01,209.9
251,고창군,2021-08-01,329.7
251,고창군,2021-09-01,161.7
251,고창군,2021-10-01,43.2
251,고창군,2021-11-01,63.5
251,고창군,2021-12-01,8.2
262,고흥,2021-01-01,19.8
262,고흥,2021-02-01,35.5
262,고흥,2021-03-01,128.8
262,고흥,2021-04-01,71.8
262,고흥,2021-05-01,112.9
262,고흥,2021-06-01,80.9
262,고흥,2021-07-01,450.8
262,고흥,2021-08-01,275.6
262,고흥,2021-09-01,96.3
262,고흥,2021-10-01,16.5
262,고흥,2021-11-01,50.0
262,고흥,2021-12-01,0.9
266,광양시,2021-01-01,17.7
266,광양시,2021-02-01,27.1
266,광양시,2021-03-01,136.7
266,광양시,2021-04-01,78.6
266,광양시,2021-05-01,80.1
266,광양시,2021-06-01,98.8
266,광양시,2021-07-01,379.1
266,광양시,2021-08-01,354.3
266,광양시,2021-09-01,146.6
266,광양시,2021-10-01,57.8
266,광양시,2021-11-01,44.6
266,광양시,2021-12-01,1.6
156,광주,2021-01-01,33.0
156,광주,2021-02-01,31.1
156,광주,2021-03-01,122.4
156,광주,2021-04-01,34.2
156,광주,2021-05-01,139.4
156,광주,2021-06-01,118.1
156,광주,2021-07-01,227.6
156,광주,2021-08-01,338.7
156,광주,2021-09-01,131.1
156,광주,2021-10-01,35.3
156,광주,2021-11-01,85.8
156,광주,2021-12-01,7.1
279,구미,2021-01-01,9.8
279,구미,2021-02-01,14.7
279,구미,2021-03-01,89.7
279,구미,2021-04-01,46.9
279,구미,2021-05-01,121.3
279,구미,2021-06-01,44.2
279,구미,2021-07-01,259.7
279,구미,2021-08-01,290.0
279,구미,2021-09-01,115.9
279,구미,2021-10-01,50.0
279,구미,2021-11-01,55.7
279,구미,2021-12-01,0.1
140,군산,2021-01-01,28.8
140,군산,2021-02-01,13.8
140,군산,2021-03-01,91.9
140,군산,2021-04-01,43.9
140,군산,2021-05-01,137.0
140,군산,2021-06-01,98.8
140,군산,2021-07-01,251.3
140,군산,2021-08-01,218.3
140,군산,2021-09-01,138.8
140,군산,2021-10-01,32.7
140,군산,2021-11-01,81.9
140,군산,2021-12-01,14.5
238,금산,2021-01-01,23.5
238,금산,2021-02-01,19.3
238,금산,2021-03-01,88.0
238,금산,2021-04-01,39.3
238,금산,2021-05-01,162.7
238,금산,2021-06-01,105.6
238,금산,2021-07-01,300.8
238,금산,2021-08-01,297.2
238,금산,2021-09-01,151.9
238,금산,2021-10-01,44.0
238,금산,2021-11-01,50.7
238,금산,2021-12-01,7.1
253,김해시,2021-01-01,15.2
253,김해시,2021-02-01,36.5
253,김해시,2021-03-01,163.5
253,김해시,2021-04-01,84.0
253,김해시,2021-05-01,149.7
253,김해시,2021-06-01,120.5
253,김해시,2021-07-01,427.3
253,김해시,2021-08-01,360.3
253,김해시,2021-09-01,101.7
253,김해시,2021-10-01,24.3
253,김해시,2021-11-01,66.1
253,김해시,2021-12-01,3.5
247,남원,2021-01-01,34.1
247,남원,2021-02-01,33.6
247,남원,2021-03-01,87.3
247,남원,2021-04-01,42.8
247,남원,2021-05-01,60.3
247,남원,2021-06-01,112.9
247,남원,2021-07-01,204.4
247,남원,2021-08-01,315.9
247,남원,2021-09-01,108.5
247,남원,2021-10-01,54.9
247,남원,2021-11-01,76.2
247,남원,2021-12-01,5.9
295,남해,2021-01-01,21.2
295,남해,2021-02-01,50.4
295,남해,2021-03-01,234.4
295,남해,2021-04-01,119.7
295,남해,2021-05-01,170.6
295,남해,2021-06-01,140.3
295,남해,2021-07-01,507.5
295,남해,2021-08-01,473.2
295,남해,2021-09-01,164.6
295,남해,2021-10-01,43.6
295,남해,2021-11-01,53.5
295,남해,2021-12-01,2.4
100,대관령,2021-01-01,7.8
100,대관령,2021-02-01,2.2
100,대관령,2021-03-01,86.2
100,대관령,2021-04-01,98.4
100,대관령,2021-05-01,154.0
100,대관령,2021-06-01,78.6
100,대관령,2021-07-01,124.8
100,대관령,2021-08-01,217.2
100,대관령,2021-09-01,153.9
100,대관령,2021-10-01,65.2
100,대관령,2021-11-01,32.6
100,대관령,2021-12-01,6.4
143,대구,2021-01-01,11.9
143,대구,2021-02-01,19.2
143,대구,2021-03-01,95.2
143,대구,2021-04-01,43.0
143,대구,2021-05-01,90.9
143,대구,2021-06-01,55.1
143,대구,2021-07-01,153.3
143,대구,2021-08-01,256.3
143,대구,2021-09-01,84.1
143,대구,2021-10-01,57.8
143,대구,2021-11-01,43.1
143,대구,2021-12-01,0.1
133,대전,2021-01-01,23.6
133,대전,2021-02-01,14.1
133,대전,2021-03-01,95.2
133,대전,2021-04-01,47.4
133,대전,2021-05-01,134.2
133,대전,2021-06-01,105.9
133,대전,2021-07-01,151.8
133,대전,2021-08-01,289.2
133,대전,2021-09-01,161.2
133,대전,2021-10-01,40.8
133,대전,2021-11-01,41.7
133,대전,2021-12-01,4.4
98,동두천,2021-01-01,15.4
98,동두천,2021-02-01,8.5
98,동두천,2021-03-01,107.8
98,동두천,2021-04-01,99.3
98,동두천,2021-05-01,228.8
98,동두천,2021-06-01,103.3
98,동두천,2021-07-01,100.2
98,동두천,2021-08-01,140.6
98,동두천,2021-09-01,100.6
98,동두천,2021-10-01,71.2
98,동두천,2021-11-01,51.6
98,동두천,2021-12-01,8.3
106,동해,2021-01-01,2.7
106,동해,2021-02-01,0.9
106,동해,2021-03-01,99.8
106,동해,2021-04-01,80.3
106,동해,2021-05-01,116.9
106,동해,2021-06-01,40.6
106,동해,2021-07-01,110.8
106,동해,2021-08-01,423.3
106,동해,2021-09-01,176.8
106,동해,2021-10-01,150.5
106,동해,2021-11-01,7.6
106,동해,2021-12-01,34.4
165,목포,2021-01-01,39.7
165,목포,2021-02-01,25.9
165,목포,2021-03-01,127.4
165,목포,2021-04-01,51.9
165,목포,2021-05-01,112.3
165,목포,2021-06-01,108.3
165,목포,2021-07-01,327.5
165,목포,2021-08-01,124.4
165,목포,2021-09-01,91.4
165,목포,2021-10-01,14.7
165,목포,2021-11-01,63.9
165,목포,2021-12-01,13.6
273,문경,2021-01-01,13.4
273,문경,2021-02-01,10.7
273,문경,2021-03-01,107.1
273,문경,2021-04-01,90.8
273,문경,2021-05-01,178.4
273,문경,2021-06-01,86.5
273,문경,2021-07-01,332.7
273,문경,2021-08-01,272.8
273,문경,2021-09-01,199.2
273,문경,2021-10-01,36.7
273,문경,2021-11-01,36.5
273,문경,2021-12-01,2.5
288,밀양,2021-01-01,16.6
288,밀양,2021-02-01,23.1
288,밀양,2021-03-01,134.3
288,밀양,2021-04-01,66.7
288,밀양,2021-05-01,107.9
288,밀양,2021-06-01,68.9
288,밀양,2021-07-01,308.2
288,밀양,2021-08-01,302.3
288,밀양,2021-09-01,60.9
288,밀양,2021-10-01,61.2
288,밀양,2021-11-01,49.4
288,밀양,2021-12-01,3.0
102,백령도,2021-01-01,64.5
102,백령도,2021-02-01,4.6
102,백령도,2021-03-01,68.0
102,백령도,2021-04-01,67.1
102,백령도,2021-05-01,67.3
102,백령도,2021-06-01,178.5
102,백령도,2021-07-01,39.7
102,백령도,2021-08-01,346.4
102,백령도,2021-09-01,164.4
102,백령도,2021-10-01,60.7
102,백령도,2021-11-01,46.2
102,백령도,2021-12-01,12.4
235,보령,2021-01-01,32.0
235,보령,2021-02-01,18.7
235,보령,2021-03-01,76.1
235,보령,2021-04-01,43.4
235,보령,2021-05-01,110.0
235,보령,2021-06-01,55.0
235,보령,2021-07-01,131.3
235,보령,2021-08-01,253.7
235,보령,2021-09-01,215.9
235,보령,2021-10-01,39.6
235,보령,2021-11-01,117.8
235,보령,2021-12-01,14.4
258,보성군,2021-01-01,24.5
258,보성군,2021-02-01,30.1
258,보성군,2021-03-01,175.4
258,보성군,2021-04-01,94.9
258,보성군,2021-05-01,144.9
258,보성군,2021-06-01,119.4
258,보성군,2021-07-01,525.1
258,보성군,2021-08-01,408.7
258,보성군,2021-09-01,110.3
258,보성군,2021-10-01,35.2
258,보성군,2021-11-01,37.7
258,보성군,2021-12-01,2.1
226,보은,2021-01-01,19.8
226,보은,2021-02-01,14.1
226,보은,2021-03-01,93.0
226,보은,2021-04-01,52.5
226,보은,2021-05-01,154.5
226,보은,2021-06-01,76.8
226,보은,2021-07-01,163.9
226,보은,2021-08-01,275.8
226,보은,2021-09-01,162.2
226,보은,2021-10-01,33.8
226,보은,2021-11-01,44.9
226,보은,2021-12-01,6.4
271,봉화,2021-01-01,12.3
