지점,지점명,일시,합계 일조시간(hr)
90,속초,2020-01,163.3
90,속초,2020-02,194.1
90,속초,2020-03,263.7
90,속초,2020-04,256.0
90,속초,2020-05,218.5
90,속초,2020-06,238.7
90,속초,2020-07,168.5
90,속초,2020-08,128.4
90,속초,2020-09,152.5
90,속초,2020-10,231.3
90,속초,2020-11,204.5
90,속초,2020-12,228.4
93,북춘천,2020-01,187.4
93,북춘천,2020-02,183.5
93,북춘천,2020-03,238.5
93,북춘천,2020-04,257.6
93,북춘천,2020-05,193.7
93,북춘천,2020-06,225.2
93,북춘천,2020-07,140.4
93,북춘천,2020-08,92.3
93,북춘천,2020-09,162.6
93,북춘천,2020-10,221.5
93,북춘천,2020-11,181.1
93,북춘천,2020-12,197.9
95,철원,2020-01,179.8
95,철원,2020-02,180.2
95,철원,2020-03,258.7
95,철원,2020-04,288.8
95,철원,2020-05,241.9
95,철원,2020-06,267.3
95,철원,2020-07,210.6
95,철원,2020-08,136.8
95,철원,2020-09,213.3
95,철원,2020-10,244.0
95,철원,2020-11,182.4
95,철원,2020-12,193.4
98,동두천,2020-01,186.6
98,동두천,2020-02,179.4
98,동두천,2020-03,254.1
98,동두천,2020-04,280.7
98,동두천,2020-05,205.7
98,동두천,2020-06,245.1
98,동두천,2020-07,167.1
98,동두천,2020-08,101.4
98,동두천,2020-09,208.2
98,동두천,2020-10,235.8
98,동두천,2020-11,177.6
98,동두천,2020-12,198.6
99,파주,2020-01,193.5
99,파주,2020-02,176.4
99,파주,2020-03,262.3
99,파주,2020-04,290.0
99,파주,2020-05,190.4
99,파주,2020-06,227.6
99,파주,2020-07,162.3
99,파주,2020-08,108.1
99,파주,2020-09,198.8
99,파주,2020-10,233.1
99,파주,2020-11,171.9
99,파주,2020-12,203.3
100,대관령,2020-01,175.4
100,대관령,2020-02,216.5
100,대관령,2020-03,273.6
100,대관령,2020-04,263.2
100,대관령,2020-05,248.4
100,대관령,2020-06,239.5
100,대관령,2020-07,169.8
100,대관령,2020-08,133.0
100,대관령,2020-09,152.3
100,대관령,2020-10,221.5
100,대관령,2020-11,205.7
100,대관령,2020-12,221.4
101,춘천,2020-01,167.7
101,춘천,2020-02,174.7
101,춘천,2020-03,235.7
101,춘천,2020-04,267.1
101,춘천,2020-05,208.9
101,춘천,2020-06,241.9
101,춘천,2020-07,150.5
101,춘천,2020-08,101.1
101,춘천,2020-09,166.9
101,춘천,2020-10,210.9
101,춘천,2020-11,176.5
101,춘천,2020-12,182.6
102,백령도,2020-01,168.1
102,백령도,2020-02,136.4
102,백령도,2020-03,263.6
102,백령도,2020-04,307.8
102,백령도,2020-05,150.7
102,백령도,2020-06,184.6
102,백령도,2020-07,195.8
102,백령도,2020-08,62.3
102,백령도,2020-09,220.5
102,백령도,2020-10,229.1
102,백령도,2020-11,148.2
102,백령도,2020-12,111.1
104,북강릉,2020-01,159.2
104,북강릉,2020-02,200.1
104,북강릉,2020-03,258.3
104,북강릉,2020-04,254.9
104,북강릉,2020-05,233.1
104,북강릉,2020-06,232.4
104,북강릉,2020-07,146.1
104,북강릉,2020-08,134.2
104,북강릉,2020-09,157.0
104,북강릉,2020-10,217.1
104,북강릉,2020-11,204.2
104,북강릉,2020-12,225.9
105,강릉,2020-01,156.4
105,강릉,2020-02,196.1
105,강릉,2020-03,251.2
105,강릉,2020-04,229.5
105,강릉,2020-05,207.4
105,강릉,2020-06,212.7
105,강릉,2020-07,125.9
105,강릉,2020-08,113.3
105,강릉,2020-09,139.5
105,강릉,2020-10,203.3
105,강릉,2020-11,194.9
105,강릉,2020-12,218.1
106,동해,2020-01,158.2
106,동해,2020-02,174.9
106,동해,2020-03,253.0
106,동해,2020-04,253.6
106,동해,2020-05,223.9
106,동해,2020-06,241.1
106,동해,2020-07,149.8
106,동해,2020-08,143.6
106,동해,2020-09,170.6
106,동해,2020-10,210.3
106,동해,2020-11,191.4
106,동해,2020-12,216.6
108,서울,2020-01,177.9
108,서울,2020-02,185.0
108,서울,2020-03,262.9
108,서울,2020-04,283.3
108,서울,2020-05,177.9
108,서울,2020-06,206.1
108,서울,2020-07,119.4
108,서울,2020-08,74.7
108,서울,2020-09,174.3
108,서울,2020-10,227.1
108,서울,2020-11,171.5
108,서울,2020-12,203.6
112,인천,2020-01,194.6
112,인천,2020-02,200.7
112,인천,2020-03,271.7
112,인천,2020-04,316.7
112,인천,2020-05,212.8
112,인천,2020-06,238.2
