지점,지점명,일시,일조율(%)
90,속초,2020-01,53.52
90,속초,2020-02,62.11
90,속초,2020-03,71.0
90,속초,2020-04,64.55
90,속초,2020-05,49.42
90,속초,2020-06,53.85
90,속초,2020-07,37.41
90,속초,2020-08,30.43
90,속초,2020-09,40.91
90,속초,2020-10,66.66
90,속초,2020-11,67.38
90,속초,2020-12,77.08
93,북춘천,2020-01,61.24
93,북춘천,2020-02,58.61
93,북춘천,2020-03,64.18
93,북춘천,2020-04,65.0
93,북춘천,2020-05,43.89
93,북춘천,2020-06,50.85
93,북춘천,2020-07,31.24
93,북춘천,2020-08,21.92
93,북춘천,2020-09,43.64
93,북춘천,2020-10,63.72
93,북춘천,2020-11,59.51
93,북춘천,2020-12,66.5
95,철원,2020-01,58.87
95,철원,2020-02,57.65
95,철원,2020-03,69.66
95,철원,2020-04,72.84
95,철원,2020-05,54.73
95,철원,2020-06,60.33
95,철원,2020-07,46.82
95,철원,2020-08,32.44
95,철원,2020-09,57.22
95,철원,2020-10,70.26
95,철원,2020-11,60.04
95,철원,2020-12,65.21
98,동두천,2020-01,60.98
98,동두천,2020-02,57.32
98,동두천,2020-03,68.4
98,동두천,2020-04,70.85
98,동두천,2020-05,46.6
98,동두천,2020-06,55.34
98,동두천,2020-07,37.2
98,동두천,2020-08,24.06
98,동두천,2020-09,55.86
98,동두천,2020-10,67.86
98,동두천,2020-11,58.34
98,동두천,2020-12,66.71
99,파주,2020-01,63.21
99,파주,2020-02,56.34
99,파주,2020-03,70.61
99,파주,2020-04,73.18
99,파주,2020-05,43.15
99,파주,2020-06,51.39
99,파주,2020-07,36.12
99,파주,2020-08,25.67
99,파주,2020-09,53.35
99,파주,2020-10,67.04
99,파주,2020-11,56.49
99,파주,2020-12,68.24
100,대관령,2020-01,57.21
100,대관령,2020-02,69.08
100,대관령,2020-03,73.65
100,대관령,2020-04,66.5
100,대관령,2020-05,56.35
100,대관령,2020-06,54.14
100,대관령,2020-07,37.85
100,대관령,2020-08,31.6
100,대관령,2020-09,40.87
100,대관령,2020-10,63.69
100,대관령,2020-11,67.46
100,대관령,2020-12,74.17
101,춘천,2020-01,54.8
101,춘천,2020-02,55.8
101,춘천,2020-03,63.43
101,춘천,2020-04,67.4
101,춘천,2020-05,47.34
101,춘천,2020-06,54.62
101,춘천,2020-07,33.49
101,춘천,2020-08,24.01
101,춘천,2020-09,44.79
101,춘천,2020-10,60.67
101,춘천,2020-11,58.0
101,춘천,2020-12,61.36
102,백령도,2020-01,54.93
102,백령도,2020-02,43.56
102,백령도,2020-03,70.94
102,백령도,2020-04,77.69
102,백령도,2020-05,34.13
102,백령도,2020-06,41.67
102,백령도,2020-07,43.55
102,백령도,2020-08,14.79
102,백령도,2020-09,59.18
102,백령도,2020-10,65.95
102,백령도,2020-11,48.69
102,백령도,2020-12,37.37
104,북강릉,2020-01,51.96
104,북강릉,2020-02,63.91
104,북강릉,2020-03,69.53
104,북강릉,2020-04,64.37
104,북강릉,2020-05,52.83
104,북강릉,2020-06,52.5
104,북강릉,2020-07,32.54
104,북강릉,2020-08,31.86
104,북강릉,2020-09,42.13
104,북강릉,2020-10,62.49
104,북강릉,2020-11,67.04
104,북강릉,2020-12,75.73
105,강릉,2020-01,51.04
105,강릉,2020-02,62.63
105,강릉,2020-03,67.62
105,강릉,2020-04,57.95
105,강릉,2020-05,47.01
105,강릉,2020-06,48.05
105,강릉,2020-07,28.04
105,강릉,2020-08,26.9
105,강릉,2020-09,37.43
105,강릉,2020-10,58.52
105,강릉,2020-11,63.99
105,강릉,2020-12,73.11
106,동해,2020-01,51.5
106,동해,2020-02,57.7
106,동해,2020-03,68.12
106,동해,2020-04,64.11
106,동해,2020-05,50.82
106,동해,2020-06,54.57
106,동해,2020-07,33.42
106,동해,2020-08,34.13
106,동해,2020-09,45.8
106,동해,2020-10,60.45
106,동해,2020-11,62.69
106,동해,2020-12,72.51
108,서울,2020-01,57.93
108,서울,2020-02,58.99
108,서울,2020-03,70.77
108,서울,2020-04,71.59
108,서울,2020-05,40.38
108,서울,2020-06,46.62
108,서울,2020-07,26.62
108,서울,2020-08,17.76
108,서울,2020-09,46.77
108,서울,2020-10,65.3
108,서울,2020-11,56.17
108,서울,2020-12,68.16
112,인천,2020-01,63.35
112,인천,2020-02,63.98
112,인천,2020-03,73.16
112,인천,2020-04,80.06
112,인천,2020-05,48.31
112,인천,2020-06,53.95
112,인천,2020-07,38.72
112,인천,2020-08,30.87
112,인천,2020-09,59.19
112,인천,2020-10,72.06
112,인천,2020-11,61.05
112,인천,2020-12,73.95
114,원주,2020-01,52.57
114,원주,2020-02,56.6
114,원주,2020-03,64.75
114,원주,2020-04,68.47
114,원주,2020-05,47.57
114,원주,2020-06,48.59
114,원주,2020-07,26.37
114,원주,2020-08,26.31
114,원주,2020-09,46.72
114,원주,2020-10,66.01
114,원주,2020-11,57.76
114,원주,2020-12,65.79
115,울릉도,2020-01,30.86
115,울릉도,2020-02,43.13
115,울릉도,2020-03,57.19
115,울릉도,2020-04,59.5
115,울릉도,2020-05,55.11
115,울릉도,2020-06,53.39
115,울릉도,2020-07,24.15
115,울릉도,2020-08,35.7
115,울릉도,2020-09,40.72
115,울릉도,2020-10,43.74
115,울릉도,2020-11,43.09
115,울릉도,2020-12,33.08
119,수원,2020-01,55.82
119,수원,2020-02,60.86
119,수원,2020-03,69.9
119,수원,2020-04,77.28
119,수원,2020-05,47.39
119,수원,2020-06,50.82
119,수원,2020-07,31.78
119,수원,2020-08,27.65
119,수원,2020-09,51.72
119,수원,2020-10,69.25
119,수원,2020-11,60.07
119,수원,2020-12,69.63
121,영월,2020-01,50.26
121,영월,2020-02,59.84
121,영월,2020-03,65.9
121,영월,2020-04,65.35
121,영월,2020-05,47.2
121,영월,2020-06,47.97
121,영월,2020-07,27.86
121,영월,2020-08,25.61
121,영월,2020-09,38.05
121,영월,2020-10,58.93
121,영월,2020-11,60.59
121,영월,2020-12,65.36
127,충주,2020-01,46.29
127,충주,2020-02,56.82
127,충주,2020-03,64.74
