지점,지점명,일시,평균풍속(m/s)
90,속초,2020-01,2.7
90,속초,2020-02,2.8
90,속초,2020-03,2.6
90,속초,2020-04,2.8
90,속초,2020-05,2.3
90,속초,2020-06,2.2
90,속초,2020-07,1.6
90,속초,2020-08,1.8
90,속초,2020-09,2.2
90,속초,2020-10,2.2
90,속초,2020-11,2.7
90,속초,2020-12,3.0
93,북춘천,2020-01,2.3
93,북춘천,2020-02,2.3
93,북춘천,2020-03,2.7
93,북춘천,2020-04,2.7
93,북춘천,2020-05,2.4
93,북춘천,2020-06,2.2
93,북춘천,2020-07,1.9
93,북춘천,2020-08,2.3
93,북춘천,2020-09,1.6
93,북춘천,2020-10,1.8
93,북춘천,2020-11,2.4
93,북춘천,2020-12,2.2
95,철원,2020-01,1.8
95,철원,2020-02,1.8
95,철원,2020-03,2.5
95,철원,2020-04,3.0
95,철원,2020-05,1.9
95,철원,2020-06,2.0
95,철원,2020-07,1.9
95,철원,2020-08,2.2
95,철원,2020-09,2.1
95,철원,2020-10,1.6
95,철원,2020-11,1.6
95,철원,2020-12,1.5
98,동두천,2020-01,1.3
98,동두천,2020-02,1.4
98,동두천,2020-03,1.9
98,동두천,2020-04,2.0
98,동두천,2020-05,1.9
98,동두천,2020-06,1.7
98,동두천,2020-07,1.6
98,동두천,2020-08,1.9
98,동두천,2020-09,1.5
98,동두천,2020-10,1.2
98,동두천,2020-11,1.3
98,동두천,2020-12,1.4
99,파주,2020-01,1.3
99,파주,2020-02,1.4
99,파주,2020-03,1.8
99,파주,2020-04,2.1
99,파주,2020-05,1.6
99,파주,2020-06,1.2
99,파주,2020-07,0.9
99,파주,2020-08,1.1
99,파주,2020-09,1.1
99,파주,2020-10,1.1
99,파주,2020-11,1.4
99,파주,2020-12,1.6
100,대관령,2020-01,2.7
100,대관령,2020-02,2.7
100,대관령,2020-03,2.8
100,대관령,2020-04,3.1
100,대관령,2020-05,2.5
100,대관령,2020-06,2.2
100,대관령,2020-07,1.8
100,대관령,2020-08,2.4
100,대관령,2020-09,2.5
100,대관령,2020-10,2.3
100,대관령,2020-11,2.9
100,대관령,2020-12,3.4
101,춘천,2020-01,8.1
101,춘천,2020-02,7.8
101,춘천,2020-03,7.5
101,춘천,2020-04,7.5
101,춘천,2020-05,5.3
101,춘천,2020-06,4.7
